,bin_014_Proteobacteria-contigs,bin_034_Proteobacteria-contigs,bin_000-contigs,bin_001_Chloroflexi-contigs,bin_002_Unknown-contigs,bin_003_Planctomycetes-contigs,bin_004_Proteobacteria-contigs,bin_005_Chloroflexi-contigs,bin_006_Proteobacteria-contigs,bin_007_Acidobacteria-contigs,bin_008_Planctomycetes-contigs,bin_009_Firmicutes-contigs,bin_010_Ignavibacteriae-contigs,bin_012_Verrucomicrobia-contigs,bin_016_Proteobacteria-contigs,bin_018_Bacteroidetes-contigs,bin_019_Proteobacteria-contigs,bin_020_Ignavibacteriae-contigs,bin_022_Armatimonadetes-contigs,bin_023_Proteobacteria-contigs,bin_025_Proteobacteria-contigs,bin_026_Chloroflexi-contigs,bin_029_Proteobacteria-contigs,bin_030_Verrucomicrobia-contigs,bin_031_Chloroflexi-contigs,bin_032_Bacteroidetes-contigs,bin_036_Proteobacteria-contigs,bin_038_Gemmatimonadetes-contigs,bin_039_Chloroflexi-contigs,bin_041_Chloroflexi-contigs,bin_042_Chloroflexi-contigs,bin_047_Proteobacteria-contigs,bin_048_Proteobacteria-contigs,bin_049_Ignavibacteriae-contigs,bin_050_Ignavibacteriae-contigs,bin_056_Proteobacteria-contigs,bin_062_Proteobacteria-contigs,bin_064_Actinobacteria-contigs,bin_066_Actinobacteria-contigs,bin_067_Ignavibacteriae-contigs,bin_068_Proteobacteria-contigs,bin_069_Bacteroidetes-contigs,bin_070_Ignavibacteriae-contigs,bin_076_Gemmatimonadetes-contigs,bin_084_Actinobacteria-contigs,bin_086_Bacteroidetes-contigs,bin_090_Gemmatimonadetes-contigs,bin_092_Proteobacteria-contigs,bin_096_Actinobacteria-contigs,bin_101_Chlorobi-contigs
K00001,5.0,1.0,36.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
K00002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00003,0.0,1.0,9.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0
K00004,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
K00005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00008,1.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
K00009,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00010,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00012,0.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
K00013,3.0,3.0,13.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,0.0
K00014,2.0,1.0,15.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
K00015,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
K00016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00018,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00020,2.0,0.0,14.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0
K00021,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00024,1.0,1.0,13.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K00027,1.0,0.0,10.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
