"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_25648_1",0,0,0,0,0,0
"scaffold_25648_2",0,0,1,0,0,0
"scaffold_25648_3",0,0,0,0,0,0
"scaffold_39817_1",0,0,0,0,0,0
"scaffold_39817_2",0,0,0,0,0,0
"scaffold_39817_3",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_1",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_2",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_3",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_4",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_5",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_6",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_7",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_8",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_9",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_10",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_11",0,0,1,0,0,0
"scaffold_659_partial_21250_84628_12",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_13",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_14",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_15",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_16",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_17",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_18",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_19",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_20",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_21",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_22",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_23",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_24",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_25",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_26",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_27",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_28",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_29",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_30",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_31",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_32",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_33",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_34",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_35",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_36",0,0,2,0,0,0
"scaffold_659_partial_21250_84628_37",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_38",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_39",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_40",0,0,0,0,3,0
"scaffold_659_partial_21250_84628_41",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_42",0,0,0,0,0,0
"scaffold_659_partial_21250_84628_43",0,0,0,0,0,0
