"","B1","B3","B4","E1","E2","E3"
"scaffold_2801_1",0,0,6,0,4,3
"scaffold_2801_2",0,0,10,1,2,2
"scaffold_2801_3",0,3,6,0,0,0
"scaffold_2801_4",1,0,3,0,1,0
"scaffold_2801_5",0,1,2,0,0,3
"scaffold_2801_6",1,0,25,3,7,2
"scaffold_2801_7",0,0,22,0,5,0
"scaffold_2801_8",0,0,2,0,1,0
"scaffold_2801_9",0,0,2,0,0,0
"scaffold_2801_10",0,1,0,0,1,0
"scaffold_2801_11",0,0,3,0,0,0
"scaffold_2801_12",1,0,36,4,3,1
"scaffold_2801_13",1,1,7,1,3,0
"scaffold_2801_14",0,2,27,0,0,0
"scaffold_2801_15",0,2,2,0,0,0
"scaffold_2801_16",0,0,4,0,0,0
"scaffold_2801_17",0,1,1,0,0,0
"scaffold_2801_18",0,8,60,1,3,1
"scaffold_2801_19",0,2,1,0,0,0
"scaffold_2801_20",0,3,8,0,0,0
"scaffold_2801_21",0,1,4,0,0,0
"scaffold_2801_22",0,0,2,0,0,0
"scaffold_2801_23",4,2,11,0,0,0
"scaffold_2801_24",1,1,15,0,3,1
"scaffold_2801_25",1,4,24,0,9,0
"scaffold_2801_26",1,4,23,4,2,1
"scaffold_2801_27",0,0,8,0,1,1
"scaffold_2801_28",2,4,41,0,2,2
"scaffold_2801_29",5,0,8,0,3,0
"scaffold_2801_30",0,0,1,0,0,0
"scaffold_2801_31",0,0,1,0,0,0
"scaffold_2801_32",4,3,2,0,4,0
"scaffold_2801_33",0,0,1,0,0,0
"scaffold_2801_34",2,0,13,1,6,0
"scaffold_2801_35",0,2,15,1,5,4
"scaffold_2801_36",0,0,0,0,0,0
"scaffold_2801_37",0,0,2,0,0,0
"scaffold_2801_38",0,0,0,0,0,0
"scaffold_2801_39",1,0,2,0,0,0
"scaffold_2801_40",0,1,5,0,0,0
"scaffold_2801_41",2,12,55,6,6,3
"scaffold_2801_42",0,5,60,0,1,0
"scaffold_2801_43",1,3,21,1,0,0
"scaffold_2801_44",0,3,6,0,3,7
"scaffold_2801_45",0,1,3,0,0,0
"scaffold_2801_46",2,0,4,0,1,0
"scaffold_2801_47",0,3,21,2,8,0
"scaffold_2801_48",0,0,7,0,3,0
