"","B1","B3","B4","E1","E2","E3"
"scaffold_3036_partial_0_21201_1",0,1,14,0,3,3
"scaffold_3036_partial_0_21201_2",0,0,0,0,0,0
"scaffold_3036_partial_0_21201_3",0,2,9,0,2,4
"scaffold_3036_partial_0_21201_4",0,0,3,0,0,0
"scaffold_3036_partial_0_21201_5",1,6,12,0,2,0
"scaffold_3036_partial_0_21201_6",0,0,8,2,2,1
"scaffold_3036_partial_0_21201_7",0,0,0,0,0,0
"scaffold_3036_partial_0_21201_8",10,2,47,8,50,24
"scaffold_3036_partial_0_21201_9",1,0,0,1,3,1
"scaffold_3036_partial_0_21201_10",1,0,7,0,8,0
"scaffold_3036_partial_0_21201_11",0,0,0,0,0,0
"scaffold_3036_partial_0_21201_12",0,0,2,1,1,0
"scaffold_3036_partial_0_21201_13",1,1,21,1,2,0
"scaffold_3036_partial_0_21201_14",1,0,8,0,3,0
"scaffold_3036_partial_0_21201_15",0,0,14,0,3,2
"scaffold_3036_partial_0_21201_16",0,0,0,0,0,0
"scaffold_3036_partial_0_21201_17",0,0,1,0,1,0
"scaffold_3036_partial_0_21201_18",2,3,6,0,4,2
"scaffold_3036_partial_0_21201_19",0,0,4,0,0,0
"scaffold_3036_partial_0_21201_20",0,2,15,1,1,1
"scaffold_3036_partial_59030_99016_1",0,4,8,0,2,0
"scaffold_3036_partial_59030_99016_2",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_3",0,5,10,0,0,0
"scaffold_3036_partial_59030_99016_4",0,1,7,0,6,0
"scaffold_3036_partial_59030_99016_5",0,0,0,0,1,1
"scaffold_3036_partial_59030_99016_6",0,0,25,0,2,1
"scaffold_3036_partial_59030_99016_7",3,5,4,0,4,0
"scaffold_3036_partial_59030_99016_8",5,0,1,1,1,0
"scaffold_3036_partial_59030_99016_9",0,0,2,0,1,0
"scaffold_3036_partial_59030_99016_10",7,1,15,1,11,3
"scaffold_3036_partial_59030_99016_11",1,0,5,1,4,2
"scaffold_3036_partial_59030_99016_12",5,0,3,1,3,0
"scaffold_3036_partial_59030_99016_13",0,1,2,0,0,0
"scaffold_3036_partial_59030_99016_14",0,0,3,0,0,0
"scaffold_3036_partial_59030_99016_15",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_16",2,3,17,0,2,1
"scaffold_3036_partial_59030_99016_17",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_18",0,0,8,2,4,0
"scaffold_3036_partial_59030_99016_19",0,0,0,0,1,0
"scaffold_3036_partial_59030_99016_20",7,0,25,2,11,2
"scaffold_3036_partial_59030_99016_21",0,0,5,0,4,3
"scaffold_3036_partial_59030_99016_22",0,0,2,0,2,0
"scaffold_3036_partial_59030_99016_23",0,0,1,0,0,0
"scaffold_3036_partial_59030_99016_24",3,1,6,2,3,3
"scaffold_3036_partial_59030_99016_25",0,1,0,0,0,0
"scaffold_3036_partial_59030_99016_26",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_27",0,0,1,0,0,0
"scaffold_3036_partial_59030_99016_28",0,1,14,0,3,3
"scaffold_3036_partial_59030_99016_29",2,0,4,0,0,0
"scaffold_3036_partial_59030_99016_30",0,0,0,0,1,0
"scaffold_3036_partial_59030_99016_31",1,0,2,0,0,0
"scaffold_3036_partial_59030_99016_32",0,0,1,0,0,0
"scaffold_3036_partial_59030_99016_33",0,0,14,0,0,0
"scaffold_3036_partial_59030_99016_34",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_35",0,0,2,0,8,1
"scaffold_3036_partial_59030_99016_36",0,0,0,0,0,0
"scaffold_3036_partial_59030_99016_37",0,1,2,0,0,2
"scaffold_3036_partial_59030_99016_38",33,16,270,30,207,107
"scaffold_3036_partial_119657_180169_1",5,0,20,0,3,4
"scaffold_3036_partial_119657_180169_2",1,1,9,0,4,1
"scaffold_3036_partial_119657_180169_3",0,0,7,0,2,0
"scaffold_3036_partial_119657_180169_4",3,3,8,0,2,0
"scaffold_3036_partial_119657_180169_5",0,0,8,0,3,0
"scaffold_3036_partial_119657_180169_6",3,2,16,0,3,0
"scaffold_3036_partial_119657_180169_7",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_8",0,0,2,0,0,0
"scaffold_3036_partial_119657_180169_9",0,2,6,0,2,0
"scaffold_3036_partial_119657_180169_10",1,0,14,0,0,0
"scaffold_3036_partial_119657_180169_11",0,2,6,0,2,4
"scaffold_3036_partial_119657_180169_12",0,1,4,1,1,0
"scaffold_3036_partial_119657_180169_13",0,0,2,0,0,0
"scaffold_3036_partial_119657_180169_14",0,2,14,0,1,0
"scaffold_3036_partial_119657_180169_15",0,1,15,0,7,5
"scaffold_3036_partial_119657_180169_16",0,0,1,0,0,0
"scaffold_3036_partial_119657_180169_17",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_18",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_19",0,0,15,2,1,0
"scaffold_3036_partial_119657_180169_20",9,1,40,8,40,8
"scaffold_3036_partial_119657_180169_21",0,0,3,0,1,0
"scaffold_3036_partial_119657_180169_22",0,0,8,0,1,0
"scaffold_3036_partial_119657_180169_23",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_24",2,2,3,0,4,3
"scaffold_3036_partial_119657_180169_25",0,0,3,0,0,0
"scaffold_3036_partial_119657_180169_26",0,2,0,0,2,4
"scaffold_3036_partial_119657_180169_27",0,3,18,0,8,7
"scaffold_3036_partial_119657_180169_28",4,1,22,3,37,5
"scaffold_3036_partial_119657_180169_29",0,0,22,0,4,4
"scaffold_3036_partial_119657_180169_30",0,0,13,2,2,0
"scaffold_3036_partial_119657_180169_31",6,0,22,1,14,6
"scaffold_3036_partial_119657_180169_32",0,0,3,0,6,0
"scaffold_3036_partial_119657_180169_33",4,1,25,1,9,1
"scaffold_3036_partial_119657_180169_34",2,1,21,0,15,6
"scaffold_3036_partial_119657_180169_35",2,0,5,0,0,0
"scaffold_3036_partial_119657_180169_36",0,1,10,0,1,0
"scaffold_3036_partial_119657_180169_37",0,0,8,0,0,0
"scaffold_3036_partial_119657_180169_38",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_39",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_40",1,0,0,0,0,0
"scaffold_3036_partial_119657_180169_41",0,0,0,0,0,2
"scaffold_3036_partial_119657_180169_42",0,0,7,1,5,0
"scaffold_3036_partial_119657_180169_43",0,0,1,0,0,0
"scaffold_3036_partial_119657_180169_44",3,4,12,2,0,4
"scaffold_3036_partial_119657_180169_45",0,0,4,0,5,3
"scaffold_3036_partial_119657_180169_46",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_47",0,3,16,2,19,2
"scaffold_3036_partial_119657_180169_48",0,0,8,4,8,1
"scaffold_3036_partial_119657_180169_49",0,0,0,0,0,0
"scaffold_3036_partial_119657_180169_50",3,4,16,2,24,5
"scaffold_3036_partial_119657_180169_51",0,0,0,0,1,0
"scaffold_3036_partial_119657_180169_52",0,0,1,0,0,0
"scaffold_3036_partial_119657_180169_53",0,2,3,0,0,0
"scaffold_3036_partial_119657_180169_54",2,0,5,0,0,1
"scaffold_3036_partial_119657_180169_55",0,1,0,0,0,0
"scaffold_3036_partial_219470_261287_1",0,0,2,1,0,0
"scaffold_3036_partial_219470_261287_2",0,1,5,0,3,0
"scaffold_3036_partial_219470_261287_3",0,0,9,0,3,0
"scaffold_3036_partial_219470_261287_4",0,0,0,0,0,0
"scaffold_3036_partial_219470_261287_5",0,0,0,0,1,0
"scaffold_3036_partial_219470_261287_6",0,0,14,0,1,0
"scaffold_3036_partial_219470_261287_7",0,0,28,2,1,0
"scaffold_3036_partial_219470_261287_8",3,4,27,3,13,5
"scaffold_3036_partial_219470_261287_9",0,5,6,0,1,2
"scaffold_3036_partial_219470_261287_10",0,0,2,1,0,0
"scaffold_3036_partial_219470_261287_11",0,0,11,0,7,2
"scaffold_3036_partial_219470_261287_12",0,0,2,0,2,0
"scaffold_3036_partial_219470_261287_13",2,4,9,2,0,0
"scaffold_3036_partial_219470_261287_14",0,0,0,0,0,0
"scaffold_3036_partial_219470_261287_15",0,1,1,0,0,0
"scaffold_3036_partial_219470_261287_16",0,1,0,0,3,2
"scaffold_3036_partial_219470_261287_17",0,0,3,0,0,0
"scaffold_3036_partial_219470_261287_18",0,0,2,0,0,0
"scaffold_3036_partial_219470_261287_19",5,7,35,0,0,0
"scaffold_3036_partial_219470_261287_20",4,6,3,0,5,0
"scaffold_3036_partial_219470_261287_21",3,0,10,0,12,1
"scaffold_3036_partial_219470_261287_22",2,0,0,0,0,0
"scaffold_3036_partial_219470_261287_23",0,0,7,0,0,0
"scaffold_3036_partial_219470_261287_24",0,0,2,0,0,0
"scaffold_3036_partial_219470_261287_25",0,0,0,0,0,0
