"","B1","B3","B4","E1","E2","E3"
"scaffold_3075_1",0,11,319,2,8,24
"scaffold_3075_2",0,0,0,0,0,0
"scaffold_3075_3",0,0,3,0,3,4
"scaffold_3075_4",0,0,6,0,5,5
"scaffold_3075_5",0,0,21,0,0,1
"scaffold_3075_6",0,3,15,0,0,0
"scaffold_3075_7",0,4,4,0,0,0
"scaffold_3075_8",0,0,24,0,0,0
"scaffold_3075_9",4,0,32,2,10,6
"scaffold_3075_10",5,5,97,0,4,2
"scaffold_3075_11",0,0,0,0,0,0
"scaffold_3075_12",0,10,85,2,17,12
"scaffold_3075_13",0,0,4,0,0,0
"scaffold_3075_14",0,0,0,0,0,0
"scaffold_3075_15",1,4,17,1,2,6
"scaffold_3075_16",1,0,2,0,0,0
"scaffold_3075_17",0,2,1,0,0,0
"scaffold_3075_18",0,0,0,0,2,0
"scaffold_3075_19",0,0,0,0,0,0
"scaffold_3075_20",0,1,33,0,2,2
"scaffold_3075_21",0,0,6,1,4,0
"scaffold_3075_22",7,4,47,0,5,3
"scaffold_3075_23",0,5,20,0,3,2
"scaffold_3075_24",8,20,124,4,16,15
"scaffold_3075_25",0,0,6,0,0,0
"scaffold_3075_26",0,0,21,6,7,1
"scaffold_3075_27",0,0,17,0,2,1
"scaffold_3075_28",0,0,1,0,0,0
"scaffold_3075_29",0,0,15,0,1,0
"scaffold_3075_30",0,3,50,1,8,2
"scaffold_3075_31",0,3,55,3,10,3
"scaffold_3075_32",3,25,199,7,20,16
"scaffold_3075_33",0,3,27,0,4,6
"scaffold_3075_34",0,1,36,0,2,0
"scaffold_3075_35",6,24,235,7,26,10
"scaffold_3075_36",15,18,308,11,42,49
"scaffold_3075_37",9,20,316,5,38,27
"scaffold_3075_38",11,114,1312,30,158,77
"scaffold_3075_39",0,3,39,1,10,2
"scaffold_3075_40",0,0,4,1,1,0
"scaffold_11400_1",0,7,128,0,4,0
"scaffold_11400_2",0,0,5,0,2,0
"scaffold_11400_3",0,0,0,0,0,0
"scaffold_11400_4",3,3,39,0,8,1
"scaffold_11400_5",1,4,18,0,2,1
"scaffold_11400_6",0,0,3,0,0,0
"scaffold_11400_7",0,0,0,0,0,0
"scaffold_11400_8",0,0,0,0,0,0
"scaffold_11400_9",0,1,0,0,0,0
"scaffold_11400_10",0,0,4,0,0,0
"scaffold_11400_11",0,0,1,0,0,0
"scaffold_4599_1",2,1,39,4,13,6
"scaffold_4599_2",0,0,1,0,1,0
"scaffold_4599_3",1,3,90,0,11,9
"scaffold_4599_4",0,8,34,4,6,12
"scaffold_4599_5",0,0,8,0,0,0
"scaffold_4599_6",2,7,36,0,0,4
"scaffold_4599_7",0,3,56,2,16,4
"scaffold_4599_8",4,18,101,1,13,12
"scaffold_4599_9",1,4,33,9,24,14
"scaffold_4599_10",2,1,21,0,13,3
"scaffold_4599_11",0,0,5,0,0,0
"scaffold_4599_12",0,0,1,0,0,0
"scaffold_4599_13",0,0,7,1,0,0
"scaffold_4599_14",0,2,13,1,7,2
"scaffold_4599_15",1,34,247,4,7,11
"scaffold_4599_16",2,14,111,4,11,6
"scaffold_4599_17",1,0,5,0,0,0
"scaffold_4599_18",1,2,19,2,0,1
"scaffold_4599_19",0,0,0,0,0,0
"scaffold_4599_20",0,0,0,0,0,0
"scaffold_4599_21",0,0,0,0,0,0
"scaffold_4599_22",0,0,0,0,0,0
"scaffold_4599_23",0,0,0,0,0,0
"scaffold_4599_24",0,0,0,0,0,0
"scaffold_4599_25",1,0,0,0,2,0
"scaffold_4599_26",0,0,0,0,0,0
"scaffold_4599_27",0,0,0,0,0,0
"scaffold_4599_28",0,4,19,0,1,1
"scaffold_4599_29",0,0,18,0,2,3
"scaffold_4599_30",0,0,3,2,0,1
"scaffold_4599_31",2,20,253,7,35,15
"scaffold_4599_32",0,8,11,0,0,0
"scaffold_2883_1",8,23,503,21,66,24
"scaffold_2883_2",2,8,87,4,5,1
"scaffold_2883_3",8,7,149,5,10,20
"scaffold_2883_4",0,2,38,0,0,0
"scaffold_2883_5",0,0,22,0,1,0
"scaffold_2883_6",0,6,57,0,1,2
"scaffold_2883_7",0,1,43,0,6,3
"scaffold_2883_8",5,1,47,6,8,6
"scaffold_2883_9",3,1,39,2,3,1
"scaffold_2883_10",0,1,68,0,5,0
"scaffold_2883_11",5,4,47,1,7,7
"scaffold_2883_12",2,0,57,2,13,3
"scaffold_2883_13",0,0,8,2,0,2
"scaffold_2883_14",0,0,4,0,2,0
"scaffold_2883_15",0,3,80,0,4,1
"scaffold_2883_16",0,2,36,0,1,0
"scaffold_2883_17",0,3,15,0,2,0
"scaffold_2883_18",0,2,30,0,3,0
"scaffold_3618_1",3,18,98,1,19,8
"scaffold_3618_2",0,1,47,2,9,2
"scaffold_3618_3",0,2,35,3,1,3
"scaffold_3618_4",8,22,202,2,23,7
"scaffold_3618_5",0,8,79,5,18,8
"scaffold_3618_6",0,0,12,0,1,0
"scaffold_3618_7",0,2,25,0,0,0
"scaffold_3618_8",0,0,56,0,2,2
"scaffold_3618_9",0,0,7,2,0,2
"scaffold_3618_10",0,1,31,2,1,0
"scaffold_3618_11",1,6,160,6,8,6
"scaffold_3618_12",12,62,769,10,94,53
"scaffold_3618_13",1,0,27,2,5,0
"scaffold_3618_14",6,3,104,4,22,6
"scaffold_3618_15",1,8,144,3,16,6
"scaffold_3618_16",2,9,144,1,9,7
"scaffold_3618_17",0,0,44,0,4,0
"scaffold_3618_18",0,12,199,6,20,11
"scaffold_3618_19",0,5,56,0,2,0
"scaffold_3618_20",0,3,76,1,6,4
"scaffold_3618_21",1,3,29,0,1,0
"scaffold_3618_22",0,0,11,2,2,2
"scaffold_3618_23",0,3,17,2,0,3
"scaffold_3618_24",0,0,0,0,0,0
"scaffold_3994_1",41,29,768,15,51,21
"scaffold_3994_2",10,21,460,13,31,25
"scaffold_3994_3",3,14,356,16,86,27
"scaffold_3994_4",0,0,7,8,20,14
"scaffold_3994_5",3,12,153,5,16,9
"scaffold_3994_6",0,8,70,1,2,0
"scaffold_3994_7",0,0,0,0,0,1
"scaffold_3994_8",1,1,15,0,3,0
"scaffold_3994_9",0,0,13,0,0,0
"scaffold_3994_10",0,0,2,0,0,0
"scaffold_3994_11",0,0,0,0,0,0
"scaffold_3994_12",0,0,8,0,1,4
"scaffold_3994_13",0,0,5,0,0,0
"scaffold_3994_14",5,2,20,0,0,0
"scaffold_3994_15",0,0,2,0,0,0
"scaffold_3994_16",0,37,470,2,17,7
"scaffold_3994_17",0,0,0,0,0,0
"scaffold_3994_18",0,0,8,0,1,0
"scaffold_3994_19",0,0,0,0,1,0
"scaffold_3994_20",0,0,19,0,0,0
"scaffold_3994_21",0,1,9,0,0,0
"scaffold_3994_22",0,3,22,0,1,1
"scaffold_3994_23",0,0,3,0,0,2
"scaffold_3994_24",0,1,2,0,0,0
"scaffold_3994_25",0,0,8,0,0,0
"scaffold_3994_26",0,0,7,1,0,1
"scaffold_3994_27",1,0,8,0,0,0
"scaffold_3994_28",0,1,31,0,1,0
"scaffold_3994_29",0,3,42,1,6,1
"scaffold_3994_30",0,7,34,0,5,5
"scaffold_3994_31",4,0,38,0,2,1
"scaffold_3994_32",0,4,33,5,2,13
"scaffold_3994_33",0,3,43,3,9,4
"scaffold_3994_34",0,8,49,0,4,0
"scaffold_3994_35",5,22,164,0,7,0
"scaffold_3994_36",1,10,100,3,7,0
"scaffold_3994_37",0,0,29,0,8,1
"scaffold_3994_38",0,0,15,0,1,0
"scaffold_3994_39",0,7,83,1,11,1
