"","B1","B3","B4","E1","E2","E3"
"scaffold_674_1",0,1,3,0,0,0
"scaffold_674_2",0,0,0,0,0,0
"scaffold_674_3",0,0,0,0,0,0
"scaffold_674_4",0,0,3,0,0,0
"scaffold_674_5",0,0,0,0,0,0
"scaffold_674_6",0,0,5,0,0,0
"scaffold_674_7",0,0,0,0,0,0
"scaffold_674_8",0,0,0,0,0,0
"scaffold_674_9",0,0,0,0,0,0
"scaffold_674_10",0,0,1,0,0,0
"scaffold_674_11",0,0,1,0,0,0
"scaffold_674_12",0,0,0,0,0,0
"scaffold_674_13",0,0,0,0,0,0
"scaffold_674_14",0,0,2,0,0,0
"scaffold_674_15",0,0,0,0,0,0
"scaffold_674_16",0,0,0,0,0,0
"scaffold_674_17",0,0,0,0,0,0
"scaffold_674_18",0,0,1,0,1,0
"scaffold_674_19",0,0,0,0,0,0
"scaffold_674_20",0,0,0,0,0,0
"scaffold_674_21",0,0,0,0,0,0
"scaffold_674_22",0,0,0,0,0,0
"scaffold_674_23",0,0,0,0,0,0
"scaffold_674_24",0,0,0,0,0,0
"scaffold_674_25",0,0,0,0,0,0
"scaffold_674_26",0,0,0,0,0,0
"scaffold_674_27",0,0,0,0,0,0
"scaffold_674_28",0,0,0,0,0,0
"scaffold_674_29",0,0,0,0,0,0
"scaffold_674_30",0,0,0,0,0,0
"scaffold_674_31",0,0,0,0,0,0
"scaffold_674_32",0,0,0,0,0,0
"scaffold_674_33",0,0,0,0,0,0
"scaffold_674_34",0,0,0,0,0,0
"scaffold_674_35",0,0,0,0,0,0
"scaffold_674_36",0,0,0,0,0,0
"scaffold_674_37",0,0,0,0,0,0
"scaffold_674_38",0,0,0,0,0,0
"scaffold_674_39",0,0,3,0,0,0
"scaffold_674_40",0,0,0,0,2,0
"scaffold_674_41",0,0,1,0,0,0
"scaffold_674_42",0,0,2,0,0,0
"scaffold_674_43",0,0,2,0,0,0
"scaffold_674_44",0,0,2,0,0,0
"scaffold_674_45",0,0,0,0,0,0
"scaffold_674_46",0,0,0,0,0,0
"scaffold_674_47",0,0,0,0,0,0
"scaffold_674_48",0,0,0,0,0,0
"scaffold_674_49",0,0,2,0,0,0
"scaffold_674_50",0,0,1,0,0,0
"scaffold_674_51",0,0,0,0,0,0
"scaffold_674_52",0,0,4,0,0,0
"scaffold_674_53",0,0,0,0,0,0
"scaffold_674_54",0,0,0,0,0,1
"scaffold_674_55",0,0,0,0,0,0
"scaffold_674_56",0,0,0,0,0,0
"scaffold_674_57",0,0,0,0,0,0
"scaffold_674_58",0,0,0,0,0,0
"scaffold_674_59",0,0,0,0,0,0
"scaffold_674_60",0,0,1,0,0,0
"scaffold_674_61",0,0,1,0,0,0
"scaffold_674_62",0,0,0,0,0,0
"scaffold_674_63",0,0,0,0,0,0
"scaffold_674_64",0,0,0,0,0,0
"scaffold_674_65",0,0,1,0,0,0
"scaffold_674_66",0,0,0,0,0,0
"scaffold_674_67",0,0,0,0,0,0
"scaffold_674_68",0,0,0,0,0,0
"scaffold_674_69",0,0,0,0,0,0
"scaffold_674_70",0,0,1,0,0,0
"scaffold_674_71",0,0,0,0,0,0
"scaffold_674_72",0,0,0,0,0,0
"scaffold_674_73",0,0,0,0,0,0
"scaffold_674_74",0,0,0,0,0,0
"scaffold_674_75",0,0,5,0,0,0
"scaffold_674_76",0,0,0,0,0,0
"scaffold_674_77",0,0,0,0,0,0
"scaffold_674_78",0,0,0,0,0,0
"scaffold_674_79",0,0,1,0,0,0
"scaffold_674_80",0,0,0,0,0,0
"scaffold_674_81",0,1,0,0,0,0
"scaffold_674_82",0,0,0,0,0,0
"scaffold_674_83",0,0,0,0,0,0
"scaffold_674_84",0,0,2,0,0,1
"scaffold_674_85",0,0,0,0,0,0
"scaffold_674_86",0,0,0,0,0,0
"scaffold_674_87",0,0,0,0,1,0
"scaffold_674_88",0,0,0,0,0,0
"scaffold_674_89",0,0,0,0,0,0
"scaffold_674_90",0,0,0,0,0,0
"scaffold_674_91",0,0,1,0,0,0
"scaffold_674_92",0,0,1,0,0,0
"scaffold_674_93",0,0,0,0,0,0
"scaffold_674_94",0,0,0,0,0,0
"scaffold_674_95",0,0,0,0,0,0
"scaffold_674_96",0,0,1,0,0,0
"scaffold_674_97",0,0,0,2,0,0
"scaffold_674_98",0,0,0,0,0,0
"scaffold_674_99",0,0,2,0,0,0
"scaffold_674_100",0,0,0,0,0,0
"scaffold_674_101",1,0,4,0,0,0
"scaffold_674_102",0,0,1,0,0,0
"scaffold_674_103",0,0,2,0,0,0
"scaffold_674_104",0,0,2,0,0,0
"scaffold_674_105",0,1,13,0,1,0
"scaffold_674_106",0,0,1,0,0,0
"scaffold_674_107",0,0,0,0,0,0
"scaffold_674_108",0,0,0,1,0,0
"scaffold_674_109",0,0,3,0,0,0
"scaffold_674_110",0,0,0,0,0,0
"scaffold_674_111",0,0,0,0,0,0
"scaffold_674_112",0,0,0,0,0,0
"scaffold_274_1",0,1,3,0,0,0
"scaffold_274_2",0,0,0,0,0,0
"scaffold_274_3",0,0,0,0,0,0
"scaffold_274_4",2,0,0,0,0,0
"scaffold_274_5",0,0,2,0,0,0
"scaffold_274_6",0,0,3,0,0,0
"scaffold_274_7",0,0,3,0,0,0
"scaffold_274_8",0,0,0,0,0,0
