"","B1","B3","B4","E1","E2","E3"
"scaffold_8154_1",1,0,0,0,7,2
"scaffold_8154_2",0,0,1,1,0,0
"scaffold_8154_3",0,0,0,0,0,0
"scaffold_8154_4",5,4,0,0,8,0
"scaffold_8154_5",8,0,16,20,57,25
"scaffold_8154_6",11,1,33,25,96,62
"scaffold_8154_7",19,1,21,26,54,17
"scaffold_8154_8",0,0,0,1,6,2
"scaffold_8154_9",0,8,61,0,65,1
"scaffold_8154_10",1,0,0,0,2,0
"scaffold_8154_11",5,2,11,0,9,8
"scaffold_8154_12",3,0,18,0,15,8
"scaffold_8154_13",11,0,19,7,31,21
"scaffold_8154_14",64,7,115,21,98,78
"scaffold_8154_15",6,1,11,3,13,0
"scaffold_8154_16",19,0,35,5,24,19
"scaffold_469_partial_0_87433_1",0,0,0,0,0,1
"scaffold_469_partial_0_87433_2",0,0,0,0,0,0
"scaffold_469_partial_0_87433_3",1,2,9,1,1,1
"scaffold_469_partial_0_87433_4",0,0,0,0,0,0
"scaffold_469_partial_0_87433_5",0,0,0,0,0,0
"scaffold_469_partial_0_87433_6",0,0,3,1,0,0
"scaffold_469_partial_0_87433_7",14,4,34,9,48,16
"scaffold_469_partial_0_87433_8",17,3,26,6,30,9
"scaffold_469_partial_0_87433_9",8,0,31,12,44,28
"scaffold_469_partial_0_87433_10",12,0,7,0,9,3
"scaffold_469_partial_0_87433_11",30,0,33,10,78,34
"scaffold_469_partial_0_87433_12",11,0,14,4,17,4
"scaffold_469_partial_0_87433_13",7,1,48,5,43,34
"scaffold_469_partial_0_87433_14",59,12,164,28,109,57
"scaffold_469_partial_0_87433_15",6,1,13,1,16,7
"scaffold_469_partial_0_87433_16",46,6,70,13,73,27
"scaffold_469_partial_0_87433_17",32,0,33,10,56,20
"scaffold_469_partial_0_87433_18",7,0,12,5,7,2
"scaffold_469_partial_0_87433_19",42,7,61,5,35,13
"scaffold_469_partial_0_87433_20",21,4,73,6,56,33
"scaffold_469_partial_0_87433_21",16,8,54,12,30,16
"scaffold_469_partial_0_87433_22",1,0,1,0,0,0
"scaffold_469_partial_0_87433_23",1,0,0,0,5,2
"scaffold_469_partial_0_87433_24",4,0,7,0,8,9
"scaffold_469_partial_0_87433_25",3,3,13,7,29,7
"scaffold_469_partial_0_87433_26",1,0,3,1,4,8
"scaffold_469_partial_0_87433_27",81,12,214,28,126,49
"scaffold_469_partial_0_87433_28",0,0,3,0,3,3
"scaffold_469_partial_0_87433_29",0,0,4,0,0,0
"scaffold_469_partial_0_87433_30",81,25,176,26,99,44
"scaffold_469_partial_0_87433_31",2,0,7,1,16,4
"scaffold_469_partial_0_87433_32",25,0,44,22,39,13
"scaffold_469_partial_0_87433_33",1,0,10,0,4,4
"scaffold_469_partial_0_87433_34",12,1,6,5,17,4
"scaffold_469_partial_0_87433_35",7,0,8,1,12,10
"scaffold_469_partial_0_87433_36",12,0,9,3,24,7
"scaffold_469_partial_0_87433_37",35,11,140,28,162,61
"scaffold_469_partial_0_87433_38",7,1,34,15,38,8
"scaffold_469_partial_0_87433_39",26,10,82,4,37,30
