"","B1","B3","B4","E1","E2","E3"
"scaffold_363_partial_0_146433_1",0,0,0,0,0,0
"scaffold_363_partial_0_146433_2",0,0,0,0,0,0
"scaffold_363_partial_0_146433_3",0,0,1,0,0,0
"scaffold_363_partial_0_146433_4",0,0,0,0,0,0
"scaffold_363_partial_0_146433_5",0,2,0,0,0,0
"scaffold_363_partial_0_146433_6",0,0,3,0,0,0
"scaffold_363_partial_0_146433_7",0,0,0,0,0,0
"scaffold_363_partial_0_146433_8",0,0,0,0,0,0
"scaffold_363_partial_0_146433_9",0,0,3,0,0,0
"scaffold_363_partial_0_146433_10",0,2,0,0,0,0
"scaffold_363_partial_0_146433_11",0,0,0,0,0,0
"scaffold_363_partial_0_146433_12",0,0,0,0,0,0
"scaffold_363_partial_0_146433_13",0,0,3,0,0,0
"scaffold_363_partial_0_146433_14",0,0,4,0,0,0
"scaffold_363_partial_0_146433_15",0,0,2,0,0,0
"scaffold_363_partial_0_146433_16",0,0,2,0,0,0
"scaffold_363_partial_0_146433_17",0,2,3,0,0,0
"scaffold_363_partial_0_146433_18",0,0,0,0,0,0
"scaffold_363_partial_0_146433_19",0,0,1,0,0,0
"scaffold_363_partial_0_146433_20",0,0,1,0,0,0
"scaffold_363_partial_0_146433_21",0,0,2,0,0,0
"scaffold_363_partial_0_146433_22",0,0,29,0,1,0
"scaffold_363_partial_0_146433_23",0,0,0,0,0,0
"scaffold_363_partial_0_146433_24",0,0,1,0,0,0
"scaffold_363_partial_0_146433_25",0,7,4,0,1,1
"scaffold_363_partial_0_146433_26",1,0,10,0,0,0
"scaffold_363_partial_0_146433_27",0,0,2,0,0,0
"scaffold_363_partial_0_146433_28",0,0,0,0,0,0
"scaffold_363_partial_0_146433_29",0,1,3,0,0,0
"scaffold_363_partial_0_146433_30",0,0,0,0,0,0
"scaffold_363_partial_0_146433_31",0,0,0,0,0,0
"scaffold_363_partial_0_146433_32",0,0,0,0,0,0
"scaffold_363_partial_0_146433_33",0,0,2,0,0,0
"scaffold_363_partial_0_146433_34",0,0,0,0,0,0
"scaffold_363_partial_0_146433_35",0,0,0,0,0,0
"scaffold_363_partial_0_146433_36",0,0,2,0,0,0
"scaffold_363_partial_0_146433_37",0,0,2,0,0,0
"scaffold_363_partial_0_146433_38",0,0,2,0,0,0
"scaffold_363_partial_0_146433_39",0,0,0,0,0,0
"scaffold_363_partial_0_146433_40",0,0,0,0,0,0
"scaffold_363_partial_0_146433_41",0,0,3,0,0,0
"scaffold_363_partial_0_146433_42",0,0,7,0,0,0
"scaffold_363_partial_0_146433_43",0,0,5,0,0,0
"scaffold_363_partial_0_146433_44",0,0,1,0,0,0
"scaffold_363_partial_0_146433_45",0,0,0,0,0,0
"scaffold_363_partial_0_146433_46",0,0,0,0,0,0
"scaffold_363_partial_0_146433_47",0,0,0,0,0,0
"scaffold_363_partial_0_146433_48",0,0,0,0,0,0
"scaffold_363_partial_0_146433_49",0,0,0,0,0,0
"scaffold_363_partial_0_146433_50",0,0,0,0,0,0
"scaffold_363_partial_0_146433_51",0,3,0,0,0,0
"scaffold_363_partial_0_146433_52",0,0,1,0,0,0
"scaffold_363_partial_0_146433_53",0,0,0,0,0,0
"scaffold_363_partial_0_146433_54",0,0,0,0,0,0
"scaffold_363_partial_0_146433_55",0,2,0,0,0,0
"scaffold_363_partial_0_146433_56",0,0,2,0,0,0
"scaffold_363_partial_0_146433_57",0,0,0,0,0,0
"scaffold_363_partial_0_146433_58",0,0,4,0,0,0
"scaffold_363_partial_0_146433_59",0,0,0,0,0,0
"scaffold_363_partial_0_146433_60",0,0,2,0,0,0
"scaffold_363_partial_0_146433_61",0,1,1,0,0,0
"scaffold_363_partial_0_146433_62",0,0,0,0,0,0
"scaffold_363_partial_0_146433_63",0,1,1,0,0,0
"scaffold_363_partial_0_146433_64",0,0,2,0,0,0
"scaffold_363_partial_0_146433_65",0,0,0,0,0,0
"scaffold_363_partial_0_146433_66",0,0,1,0,0,0
"scaffold_363_partial_0_146433_67",0,0,4,0,0,0
"scaffold_363_partial_0_146433_68",0,0,0,0,0,0
"scaffold_363_partial_0_146433_69",0,0,0,0,0,0
