"","B1","B3","B4","E1","E2","E3"
"scaffold_44_1",0,0,0,0,0,0
"scaffold_44_2",0,0,1,0,0,0
"scaffold_44_3",0,0,0,0,0,0
"scaffold_44_4",0,0,10,0,0,0
"scaffold_44_5",0,0,0,0,0,0
"scaffold_44_6",0,0,1,0,0,0
"scaffold_44_7",0,1,1,0,0,0
"scaffold_44_8",0,0,7,0,0,0
"scaffold_44_9",0,0,0,0,0,0
"scaffold_44_10",0,0,0,0,0,0
"scaffold_44_11",0,0,2,0,0,0
"scaffold_44_12",0,0,3,0,0,0
"scaffold_44_13",0,0,2,0,0,0
"scaffold_44_14",0,0,3,0,0,0
"scaffold_44_15",0,0,0,0,0,0
"scaffold_44_16",0,0,2,0,0,0
"scaffold_44_17",0,0,0,0,0,0
"scaffold_44_18",0,0,0,0,0,0
"scaffold_44_19",0,0,0,0,0,0
"scaffold_44_20",0,0,0,0,0,0
"scaffold_44_21",0,0,1,0,0,0
"scaffold_44_22",0,0,0,0,0,0
"scaffold_44_23",0,0,0,0,0,0
"scaffold_44_24",0,0,1,0,0,0
"scaffold_44_25",0,0,6,0,0,0
"scaffold_44_26",0,0,1,0,0,0
"scaffold_44_27",0,0,3,0,0,0
"scaffold_44_28",0,0,0,0,0,0
"scaffold_44_29",0,0,0,0,0,0
"scaffold_44_30",0,0,2,0,0,0
"scaffold_44_31",0,0,0,0,0,0
"scaffold_44_32",0,0,0,0,0,0
"scaffold_44_33",0,0,3,1,0,0
"scaffold_44_34",0,0,3,0,0,0
"scaffold_44_35",0,1,10,0,0,0
"scaffold_44_36",0,0,0,0,0,0
"scaffold_44_37",0,0,2,0,0,0
"scaffold_44_38",0,0,0,0,0,0
"scaffold_44_39",0,0,0,0,0,0
"scaffold_44_40",0,0,2,0,0,0
"scaffold_44_41",0,0,3,0,0,0
"scaffold_44_42",0,0,0,0,0,0
"scaffold_44_43",0,0,0,0,0,0
"scaffold_44_44",0,0,1,0,0,0
"scaffold_44_45",0,0,0,0,0,0
"scaffold_44_46",0,0,1,0,0,0
"scaffold_44_47",0,0,0,0,0,0
"scaffold_44_48",0,0,3,0,0,0
"scaffold_44_49",0,1,6,0,1,0
"scaffold_44_50",0,0,0,0,0,0
"scaffold_44_51",0,0,1,0,0,0
"scaffold_44_52",0,0,3,0,0,0
"scaffold_44_53",0,0,1,0,0,0
"scaffold_44_54",0,0,1,0,0,0
"scaffold_44_55",0,0,0,0,0,0
"scaffold_44_56",0,0,0,0,1,0
"scaffold_44_57",0,0,4,0,0,0
"scaffold_44_58",0,1,10,0,0,0
"scaffold_44_59",0,0,4,0,0,0
"scaffold_44_60",0,0,0,0,0,0
"scaffold_44_61",0,0,0,0,0,0
"scaffold_44_62",0,0,0,0,0,0
"scaffold_44_63",0,0,0,0,0,0
"scaffold_44_64",0,4,3,0,0,0
"scaffold_44_65",0,0,0,0,0,0
"scaffold_44_66",0,0,0,0,0,0
"scaffold_44_67",0,0,0,0,0,0
"scaffold_44_68",0,0,1,0,0,0
"scaffold_44_69",0,0,7,0,0,0
"scaffold_44_70",0,0,0,0,0,0
"scaffold_44_71",0,0,0,0,0,0
"scaffold_44_72",0,0,0,0,0,0
"scaffold_44_73",0,0,0,0,0,0
"scaffold_44_74",0,0,0,0,0,0
"scaffold_44_75",0,0,2,0,0,0
"scaffold_44_76",0,0,0,0,0,0
"scaffold_44_77",0,0,24,0,0,0
"scaffold_44_78",0,0,0,0,0,0
"scaffold_44_79",0,0,0,0,0,0
"scaffold_44_80",0,0,1,0,0,0
"scaffold_44_81",0,0,0,0,0,0
"scaffold_44_82",0,0,0,0,0,0
"scaffold_44_83",0,0,0,0,0,0
"scaffold_44_84",0,0,0,0,0,0
"scaffold_44_85",0,0,4,0,0,0
"scaffold_44_86",0,0,1,0,0,0
"scaffold_44_87",0,0,0,0,0,0
"scaffold_44_88",0,0,6,0,0,0
"scaffold_44_89",0,0,0,0,0,0
"scaffold_44_90",0,0,0,0,0,0
"scaffold_44_91",0,0,1,0,0,0
"scaffold_44_92",0,0,0,0,0,0
"scaffold_44_93",0,0,1,0,0,0
"scaffold_44_94",0,1,11,0,0,0
"scaffold_44_95",0,0,0,0,0,0
"scaffold_44_96",0,0,3,0,0,0
"scaffold_44_97",0,0,0,0,0,0
"scaffold_44_98",0,0,4,0,0,3
"scaffold_44_99",0,0,0,0,0,0
"scaffold_44_100",0,0,0,0,0,0
"scaffold_44_101",0,0,4,0,0,0
"scaffold_44_102",0,0,0,0,0,1
"scaffold_44_103",0,0,3,0,3,0
"scaffold_44_104",0,0,0,0,0,0
"scaffold_44_105",0,0,0,0,0,0
"scaffold_44_106",0,0,0,0,0,0
"scaffold_44_107",0,0,7,0,0,0
"scaffold_44_108",0,0,0,0,0,0
"scaffold_44_109",0,0,4,0,3,0
"scaffold_44_110",0,0,0,0,0,0
"scaffold_44_111",0,0,6,0,0,0
"scaffold_44_112",0,0,4,0,0,0
"scaffold_44_113",0,0,1,0,0,0
"scaffold_44_114",0,0,0,0,0,0
"scaffold_44_115",0,0,1,0,0,0
"scaffold_44_116",0,0,4,0,0,0
"scaffold_44_117",0,0,1,0,0,0
"scaffold_44_118",0,0,5,0,1,0
"scaffold_44_119",0,0,0,0,0,0
"scaffold_44_120",0,0,7,0,0,0
"scaffold_44_121",0,0,8,0,0,0
"scaffold_44_122",0,1,4,0,0,0
"scaffold_44_123",0,0,1,0,0,0
"scaffold_44_124",0,0,0,0,0,2
"scaffold_44_125",0,0,0,0,0,0
"scaffold_44_126",0,0,0,0,0,0
"scaffold_44_127",0,0,0,0,0,0
"scaffold_44_128",0,2,5,0,0,0
"scaffold_44_129",0,0,2,0,0,0
"scaffold_44_130",0,0,1,0,0,0
"scaffold_44_131",0,0,1,0,0,0
"scaffold_44_132",0,0,2,0,0,0
"scaffold_44_133",0,4,1,0,0,0
"scaffold_44_134",0,0,3,0,0,0
"scaffold_44_135",0,0,0,0,0,0
"scaffold_44_136",0,0,0,0,0,0
"scaffold_44_137",0,0,0,0,0,0
"scaffold_44_138",0,0,2,0,0,0
"scaffold_44_139",0,0,6,0,0,0
"scaffold_44_140",0,1,1,0,0,0
"scaffold_44_141",0,4,8,0,1,0
"scaffold_44_142",0,0,6,0,0,0
"scaffold_44_143",0,0,2,0,0,0
"scaffold_44_144",0,0,3,0,0,0
"scaffold_44_145",0,0,0,0,0,0
"scaffold_44_146",0,0,0,0,0,0
"scaffold_44_147",0,0,13,0,0,0
"scaffold_44_148",0,0,13,0,0,0
"scaffold_44_149",0,2,4,0,0,0
"scaffold_44_150",0,0,4,0,0,0
"scaffold_44_151",0,0,7,0,0,0
