"","B1","B3","B4","E1","E2","E3"
"scaffold_153_partial_0_514291_1",5,2,40,12,36,47
"scaffold_153_partial_0_514291_2",0,2,12,5,11,1
"scaffold_153_partial_0_514291_3",0,1,0,0,8,1
"scaffold_153_partial_0_514291_4",0,0,0,0,0,0
"scaffold_153_partial_0_514291_5",4,0,0,0,0,1
"scaffold_153_partial_0_514291_6",1,0,0,2,5,2
"scaffold_153_partial_0_514291_7",0,0,2,0,1,0
"scaffold_153_partial_0_514291_8",0,0,0,4,7,1
"scaffold_153_partial_0_514291_9",0,0,0,0,2,0
"scaffold_153_partial_0_514291_10",0,0,3,0,0,0
"scaffold_153_partial_0_514291_11",0,0,0,1,3,1
"scaffold_153_partial_0_514291_12",0,0,2,0,6,0
"scaffold_153_partial_0_514291_13",0,0,3,0,2,0
"scaffold_153_partial_0_514291_14",0,0,4,0,7,2
"scaffold_153_partial_0_514291_15",1,1,8,8,23,5
"scaffold_153_partial_0_514291_16",0,0,1,2,4,1
"scaffold_153_partial_0_514291_17",0,0,4,3,12,2
"scaffold_153_partial_0_514291_18",1,0,12,0,2,1
"scaffold_153_partial_0_514291_19",0,0,13,0,6,0
"scaffold_153_partial_0_514291_20",0,0,2,1,8,4
"scaffold_153_partial_0_514291_21",0,0,5,0,0,0
"scaffold_153_partial_0_514291_22",2,0,3,2,2,0
"scaffold_153_partial_0_514291_23",0,0,0,2,11,3
"scaffold_153_partial_0_514291_24",0,0,0,0,0,0
"scaffold_153_partial_0_514291_25",0,0,16,1,7,6
"scaffold_153_partial_0_514291_26",1,0,1,1,2,8
"scaffold_153_partial_0_514291_27",0,0,0,0,1,0
"scaffold_153_partial_0_514291_28",0,0,7,3,16,3
"scaffold_153_partial_0_514291_29",0,0,4,2,9,6
"scaffold_153_partial_0_514291_30",0,0,0,0,0,0
"scaffold_153_partial_0_514291_31",0,0,0,1,4,0
"scaffold_153_partial_0_514291_32",0,1,6,3,9,4
"scaffold_153_partial_0_514291_33",0,0,2,0,9,2
"scaffold_153_partial_0_514291_34",1,1,1,2,4,6
"scaffold_153_partial_0_514291_35",0,5,13,2,9,3
"scaffold_153_partial_0_514291_36",0,0,1,0,3,0
"scaffold_153_partial_0_514291_37",0,0,3,0,0,0
"scaffold_153_partial_0_514291_38",1,3,20,14,29,24
"scaffold_153_partial_0_514291_39",7,1,23,24,58,29
"scaffold_153_partial_0_514291_40",1,0,10,2,12,18
"scaffold_153_partial_0_514291_41",11,1,32,17,81,36
"scaffold_153_partial_0_514291_42",0,0,5,5,25,15
"scaffold_153_partial_0_514291_43",0,0,1,0,0,0
"scaffold_153_partial_0_514291_44",0,0,6,2,3,2
"scaffold_153_partial_0_514291_45",1,0,1,0,5,0
"scaffold_153_partial_0_514291_46",0,0,5,1,4,0
"scaffold_153_partial_0_514291_47",0,0,1,0,1,2
"scaffold_153_partial_0_514291_48",2,0,2,0,1,0
"scaffold_153_partial_0_514291_49",0,0,9,4,3,3
"scaffold_153_partial_0_514291_50",0,0,5,0,0,0
"scaffold_153_partial_0_514291_51",0,0,5,0,4,0
"scaffold_153_partial_0_514291_52",0,0,0,1,1,1
"scaffold_153_partial_0_514291_53",0,0,0,0,4,7
"scaffold_153_partial_0_514291_54",0,0,9,2,9,6
"scaffold_153_partial_0_514291_55",0,0,0,0,0,0
"scaffold_153_partial_0_514291_56",0,0,4,0,3,0
"scaffold_153_partial_0_514291_57",0,0,0,0,0,0
"scaffold_153_partial_0_514291_58",0,0,0,0,1,0
"scaffold_153_partial_0_514291_59",0,0,0,1,0,0
"scaffold_153_partial_0_514291_60",0,0,0,0,0,0
"scaffold_153_partial_0_514291_61",0,0,0,0,0,0
"scaffold_153_partial_0_514291_62",4,0,7,3,12,2
"scaffold_153_partial_0_514291_63",0,0,3,1,4,4
"scaffold_153_partial_0_514291_64",0,0,0,0,1,1
"scaffold_153_partial_0_514291_65",0,0,0,1,7,0
"scaffold_153_partial_0_514291_66",0,0,0,0,1,0
"scaffold_153_partial_0_514291_67",0,2,7,0,6,2
