"","B1","B3","B4","E1","E2","E3"
"scaffold_1414_1",0,0,1,0,0,0
"scaffold_1414_2",0,0,3,0,0,0
"scaffold_1414_3",0,0,1,0,0,0
"scaffold_1414_4",0,0,0,0,0,0
"scaffold_1414_5",0,0,3,0,0,0
"scaffold_1414_6",0,0,3,0,0,0
"scaffold_1414_7",0,0,0,0,0,0
"scaffold_1414_8",0,0,1,0,0,0
"scaffold_1414_9",0,0,2,0,0,0
"scaffold_1414_10",0,2,3,0,0,0
"scaffold_1414_11",0,0,0,0,0,0
"scaffold_1414_12",0,0,0,0,0,0
"scaffold_1414_13",0,0,0,0,0,0
"scaffold_1414_14",0,0,0,0,0,0
"scaffold_1414_15",0,0,0,0,0,0
"scaffold_1414_16",0,0,0,0,0,0
"scaffold_1414_17",0,0,1,0,0,0
"scaffold_1414_18",0,0,0,0,0,0
"scaffold_1414_19",0,0,0,0,0,0
"scaffold_1414_20",0,0,0,0,0,0
"scaffold_1414_21",0,0,0,0,0,0
"scaffold_1414_22",0,0,0,0,0,0
"scaffold_1414_23",0,0,0,0,0,0
"scaffold_1414_24",0,0,0,0,0,0
"scaffold_1414_25",0,0,0,0,0,0
"scaffold_1414_26",0,0,0,0,0,0
"scaffold_1414_27",0,0,0,0,0,0
"scaffold_1414_28",0,0,1,0,0,0
"scaffold_1414_29",0,0,0,0,0,0
"scaffold_1414_30",0,0,0,0,0,0
"scaffold_1414_31",0,0,0,0,0,0
"scaffold_1414_32",0,0,0,0,0,0
"scaffold_1414_33",0,0,1,0,0,0
"scaffold_1414_34",0,0,0,0,0,0
"scaffold_1414_35",0,0,0,0,0,0
"scaffold_1414_36",0,0,0,0,0,0
"scaffold_1414_37",0,0,1,0,0,0
"scaffold_1414_38",0,0,0,0,0,0
"scaffold_1414_39",0,0,0,0,0,0
"scaffold_1414_40",0,0,3,0,0,0
"scaffold_1414_41",0,0,0,0,0,0
"scaffold_1414_42",0,0,0,0,0,0
"scaffold_1414_43",0,0,2,0,0,0
"scaffold_1414_44",0,0,0,0,0,0
"scaffold_1414_45",0,0,0,0,0,0
"scaffold_1414_46",0,0,0,0,0,0
"scaffold_1414_47",0,0,2,0,0,0
"scaffold_1414_48",0,0,1,0,0,0
"scaffold_1414_49",0,0,0,0,0,0
"scaffold_1414_50",0,0,0,0,0,0
"scaffold_1414_51",0,0,0,0,0,0
"scaffold_1414_52",0,0,2,0,0,0
"scaffold_1414_53",0,0,0,0,0,0
"scaffold_1414_54",0,0,0,0,0,0
"scaffold_1414_55",0,0,0,0,0,0
"scaffold_1414_56",0,0,0,0,0,0
"scaffold_1414_57",0,0,0,0,0,0
"scaffold_1414_58",0,0,0,0,0,0
"scaffold_1414_59",0,0,1,0,0,0
"scaffold_1414_60",0,0,0,0,0,0
"scaffold_1414_61",0,1,1,0,0,0
"scaffold_1414_62",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_1",0,0,3,0,0,0
"scaffold_231_partial_22078_65136_2",0,0,2,2,0,0
"scaffold_231_partial_22078_65136_3",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_4",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_5",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_6",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_7",0,0,2,0,1,1
"scaffold_231_partial_22078_65136_8",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_9",0,0,4,0,0,0
"scaffold_231_partial_22078_65136_10",0,0,5,0,0,0
"scaffold_231_partial_22078_65136_11",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_12",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_13",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_14",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_15",0,0,0,0,1,0
"scaffold_231_partial_22078_65136_16",0,0,4,0,0,0
"scaffold_231_partial_22078_65136_17",0,2,1,0,0,0
"scaffold_231_partial_22078_65136_18",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_19",0,0,1,0,0,0
"scaffold_231_partial_22078_65136_20",0,0,1,0,0,0
"scaffold_231_partial_22078_65136_21",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_22",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_23",0,0,2,0,3,1
"scaffold_231_partial_22078_65136_24",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_25",0,0,1,0,0,0
"scaffold_231_partial_22078_65136_26",0,1,0,0,0,0
"scaffold_231_partial_22078_65136_27",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_28",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_29",0,0,0,0,2,0
"scaffold_231_partial_22078_65136_30",0,0,8,0,0,0
"scaffold_231_partial_22078_65136_31",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_32",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_33",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_34",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_35",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_36",0,0,1,0,0,0
"scaffold_231_partial_22078_65136_37",0,0,0,0,0,0
"scaffold_231_partial_22078_65136_38",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_1",0,0,1,0,0,0
"scaffold_231_partial_108502_147155_2",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_3",0,0,0,0,2,0
"scaffold_231_partial_108502_147155_4",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_5",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_6",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_7",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_8",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_9",0,2,0,0,0,0
"scaffold_231_partial_108502_147155_10",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_11",0,0,0,0,2,0
"scaffold_231_partial_108502_147155_12",0,0,2,1,0,0
"scaffold_231_partial_108502_147155_13",0,0,3,0,1,1
"scaffold_231_partial_108502_147155_14",0,0,0,0,2,0
"scaffold_231_partial_108502_147155_15",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_16",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_17",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_18",0,0,2,0,0,0
"scaffold_231_partial_108502_147155_19",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_20",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_21",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_22",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_23",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_24",0,1,2,0,1,0
"scaffold_231_partial_108502_147155_25",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_26",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_27",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_28",0,0,0,2,0,0
"scaffold_231_partial_108502_147155_29",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_30",3,5,17,6,10,4
"scaffold_231_partial_108502_147155_31",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_32",0,0,0,0,1,1
"scaffold_231_partial_108502_147155_33",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_34",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_35",0,0,0,0,0,0
"scaffold_231_partial_108502_147155_36",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_1",0,0,0,0,1,0
"scaffold_151_partial_42308_89012_2",0,1,4,0,0,0
"scaffold_151_partial_42308_89012_3",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_4",0,0,0,0,0,1
"scaffold_151_partial_42308_89012_5",0,0,2,0,0,0
"scaffold_151_partial_42308_89012_6",0,0,0,0,1,2
"scaffold_151_partial_42308_89012_7",0,0,2,0,0,0
"scaffold_151_partial_42308_89012_8",0,0,5,0,0,0
"scaffold_151_partial_42308_89012_9",0,0,3,0,0,0
"scaffold_151_partial_42308_89012_10",0,0,1,0,0,0
"scaffold_151_partial_42308_89012_11",0,0,2,0,0,0
"scaffold_151_partial_42308_89012_12",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_13",0,0,1,0,0,0
"scaffold_151_partial_42308_89012_14",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_15",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_16",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_17",0,0,2,1,1,0
"scaffold_151_partial_42308_89012_18",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_19",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_20",0,0,1,0,0,0
"scaffold_151_partial_42308_89012_21",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_22",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_23",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_24",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_25",0,0,8,0,0,0
"scaffold_151_partial_42308_89012_26",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_27",0,0,1,0,0,0
"scaffold_151_partial_42308_89012_28",0,0,0,1,0,0
"scaffold_151_partial_42308_89012_29",0,2,0,0,0,0
"scaffold_151_partial_42308_89012_30",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_31",0,0,0,0,0,0
"scaffold_151_partial_42308_89012_32",0,0,2,0,0,0
"scaffold_99882_1",0,0,0,0,0,0
"scaffold_99882_2",0,0,2,0,0,0
"scaffold_354_partial_0_20874_1",0,0,0,0,0,0
"scaffold_354_partial_0_20874_2",0,0,4,0,4,0
"scaffold_354_partial_0_20874_3",0,0,1,0,0,0
"scaffold_354_partial_0_20874_4",0,0,0,0,0,0
"scaffold_354_partial_0_20874_5",0,0,0,0,0,0
"scaffold_354_partial_0_20874_6",0,0,1,0,0,0
"scaffold_354_partial_0_20874_7",0,0,0,0,0,0
"scaffold_354_partial_0_20874_8",0,0,0,0,0,0
"scaffold_354_partial_0_20874_9",0,1,0,0,0,0
"scaffold_354_partial_0_20874_10",0,0,0,0,0,0
"scaffold_354_partial_0_20874_11",0,0,0,0,0,0
"scaffold_354_partial_0_20874_12",0,0,2,0,0,0
"scaffold_354_partial_0_20874_13",0,0,0,0,0,0
"scaffold_354_partial_0_20874_14",0,0,3,0,0,0
"scaffold_354_partial_0_20874_15",0,0,0,0,0,0
"scaffold_354_partial_0_20874_16",0,0,1,0,0,0
"scaffold_354_partial_0_20874_17",0,0,1,0,1,0
"scaffold_354_partial_0_20874_18",0,0,0,0,0,0
"scaffold_354_partial_0_20874_19",0,0,0,0,0,0
"scaffold_354_partial_0_20874_20",0,0,2,0,0,0
"scaffold_354_partial_0_20874_21",2,0,5,0,1,0
"scaffold_354_partial_0_20874_22",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_1",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_2",0,0,2,0,0,0
"scaffold_354_partial_62320_83223_3",0,0,0,0,2,0
"scaffold_354_partial_62320_83223_4",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_5",0,2,5,0,2,0
"scaffold_354_partial_62320_83223_6",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_7",0,0,1,0,0,0
"scaffold_354_partial_62320_83223_8",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_9",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_10",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_11",0,0,0,0,1,0
"scaffold_354_partial_62320_83223_12",0,0,2,0,0,0
"scaffold_354_partial_62320_83223_13",0,0,3,0,0,1
"scaffold_354_partial_62320_83223_14",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_15",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_16",0,0,0,0,0,0
"scaffold_354_partial_62320_83223_17",0,0,4,0,0,0
"scaffold_354_partial_62320_83223_18",0,0,2,0,0,0
"scaffold_354_partial_103945_124096_1",0,0,3,0,0,0
"scaffold_354_partial_103945_124096_2",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_3",0,0,2,0,0,0
"scaffold_354_partial_103945_124096_4",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_5",0,0,1,0,0,0
"scaffold_354_partial_103945_124096_6",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_7",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_8",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_9",6,6,13,10,18,18
"scaffold_354_partial_103945_124096_10",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_11",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_12",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_13",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_14",0,0,2,0,0,0
"scaffold_354_partial_103945_124096_15",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_16",0,0,4,0,0,0
"scaffold_354_partial_103945_124096_17",0,0,0,0,0,0
"scaffold_354_partial_103945_124096_18",0,0,1,0,0,0
"scaffold_354_partial_145521_166032_1",1,0,7,0,2,1
"scaffold_354_partial_145521_166032_2",0,0,3,0,3,0
"scaffold_354_partial_145521_166032_3",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_4",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_5",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_6",0,0,2,0,0,0
"scaffold_354_partial_145521_166032_7",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_8",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_9",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_10",0,0,3,0,0,1
"scaffold_354_partial_145521_166032_11",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_12",0,0,3,0,0,0
"scaffold_354_partial_145521_166032_13",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_14",0,0,4,0,0,0
"scaffold_354_partial_145521_166032_15",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_16",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_17",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_18",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_19",0,0,1,0,0,0
"scaffold_354_partial_145521_166032_20",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_21",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_22",0,0,0,0,0,0
"scaffold_354_partial_145521_166032_23",0,0,3,0,0,3
"scaffold_1179_partial_25584_45029_1",6,0,5,1,2,2
"scaffold_1179_partial_25584_45029_2",0,3,0,0,0,0
"scaffold_1179_partial_25584_45029_3",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_4",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_5",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_6",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_7",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_8",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_9",0,0,3,0,0,0
"scaffold_1179_partial_25584_45029_10",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_11",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_12",0,0,0,0,0,0
"scaffold_1179_partial_25584_45029_13",0,0,3,0,0,0
"scaffold_1179_partial_25584_45029_14",0,0,3,0,0,0
"scaffold_1179_partial_89749_111405_1",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_2",0,1,4,2,2,0
"scaffold_1179_partial_89749_111405_3",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_4",0,0,2,0,0,0
"scaffold_1179_partial_89749_111405_5",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_6",0,0,5,0,0,0
"scaffold_1179_partial_89749_111405_7",0,0,1,1,0,0
"scaffold_1179_partial_89749_111405_8",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_9",0,0,2,0,0,0
"scaffold_1179_partial_89749_111405_10",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_11",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_12",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_13",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_14",0,0,3,0,0,0
"scaffold_1179_partial_89749_111405_15",0,0,4,0,0,0
"scaffold_1179_partial_89749_111405_16",0,0,1,0,0,0
"scaffold_1179_partial_89749_111405_17",0,0,0,0,0,0
"scaffold_1179_partial_89749_111405_18",0,0,0,0,0,0
"scaffold_239_partial_0_19721_1",0,0,9,0,0,0
"scaffold_239_partial_0_19721_2",0,0,0,0,0,0
"scaffold_239_partial_0_19721_3",0,0,0,0,0,0
"scaffold_239_partial_0_19721_4",0,0,0,0,0,0
"scaffold_239_partial_0_19721_5",0,0,3,0,0,0
"scaffold_239_partial_0_19721_6",0,0,3,0,0,0
"scaffold_239_partial_0_19721_7",0,0,0,0,0,0
"scaffold_239_partial_0_19721_8",0,0,0,0,2,0
"scaffold_239_partial_0_19721_9",0,0,0,0,0,0
"scaffold_239_partial_0_19721_10",0,0,5,0,0,0
"scaffold_239_partial_0_19721_11",0,0,1,0,0,0
"scaffold_239_partial_0_19721_12",0,0,0,0,0,0
"scaffold_239_partial_0_19721_13",0,1,3,0,0,0
"scaffold_239_partial_0_19721_14",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_1",0,0,2,0,1,0
"scaffold_239_partial_200494_220159_2",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_3",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_4",0,0,6,0,0,0
"scaffold_239_partial_200494_220159_5",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_6",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_7",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_8",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_9",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_10",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_11",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_12",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_13",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_14",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_15",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_16",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_17",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_18",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_19",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_20",0,0,0,0,0,0
"scaffold_239_partial_200494_220159_21",0,3,0,0,0,0
"scaffold_239_partial_200494_220159_22",0,0,1,0,0,0
"scaffold_239_partial_200494_220159_23",0,0,0,0,0,0
