"","B1","B3","B4","E1","E2","E3"
"scaffold_3194_1",0,0,0,0,2,0
"scaffold_3194_2",0,1,0,0,0,0
"scaffold_3194_3",0,0,0,0,0,0
"scaffold_3194_4",0,0,0,0,0,0
"scaffold_3194_5",0,0,0,0,0,0
"scaffold_3194_6",0,0,0,0,0,0
"scaffold_3194_7",0,0,0,0,0,0
"scaffold_3194_8",0,0,0,0,0,0
"scaffold_3194_9",0,0,0,0,0,0
"scaffold_3194_10",0,0,0,0,0,0
"scaffold_3194_11",0,0,0,0,0,0
"scaffold_3194_12",0,0,0,0,0,0
"scaffold_3194_13",0,0,0,0,0,0
"scaffold_3194_14",0,0,0,0,0,0
"scaffold_3194_15",0,0,0,0,0,0
"scaffold_3194_16",0,0,0,0,0,0
"scaffold_3194_17",0,0,0,0,0,0
"scaffold_3194_18",0,0,0,0,0,0
"scaffold_3194_19",0,0,0,0,0,0
"scaffold_3194_20",0,0,0,0,0,0
"scaffold_3194_21",0,0,0,0,0,0
"scaffold_3194_22",0,0,0,0,0,0
"scaffold_3194_23",0,0,0,0,0,0
"scaffold_3194_24",0,0,0,0,0,0
"scaffold_3194_25",0,0,0,0,0,0
"scaffold_3194_26",0,0,0,0,0,0
"scaffold_3194_27",0,0,0,0,0,0
"scaffold_3194_28",0,0,0,0,0,0
"scaffold_3194_29",0,0,0,0,0,0
"scaffold_3194_30",0,0,0,0,0,0
"scaffold_3194_31",0,0,0,0,0,0
"scaffold_3194_32",0,0,0,0,0,0
"scaffold_3194_33",0,0,0,0,0,0
"scaffold_3194_34",0,0,0,0,0,0
"scaffold_3194_35",0,0,0,0,0,0
"scaffold_54_partial_0_39658_1",0,0,0,0,0,0
"scaffold_54_partial_0_39658_2",0,0,0,0,0,0
"scaffold_54_partial_0_39658_3",0,0,0,0,0,0
"scaffold_54_partial_0_39658_4",0,0,0,0,0,0
"scaffold_54_partial_0_39658_5",0,0,0,0,0,0
"scaffold_54_partial_0_39658_6",0,0,0,0,0,0
"scaffold_54_partial_0_39658_7",0,0,0,0,0,0
"scaffold_54_partial_0_39658_8",0,0,0,0,0,0
"scaffold_54_partial_0_39658_9",0,0,0,0,0,0
"scaffold_54_partial_0_39658_10",0,2,0,0,0,0
"scaffold_54_partial_0_39658_11",0,0,0,0,0,0
"scaffold_54_partial_0_39658_12",0,0,0,0,0,0
"scaffold_54_partial_0_39658_13",0,0,0,0,0,0
"scaffold_54_partial_0_39658_14",0,0,0,0,0,0
"scaffold_54_partial_0_39658_15",0,0,0,0,0,0
