"","B1","B3","B4","E1","E2","E3"
"scaffold_21633_1",0,0,0,0,0,0
"scaffold_21633_2",0,0,0,0,0,0
"scaffold_21633_3",0,0,0,0,0,0
"scaffold_17496_1",0,0,0,0,0,0
"scaffold_17496_2",0,0,0,0,0,0
"scaffold_17496_3",0,0,0,0,0,0
"scaffold_17496_4",0,0,0,0,0,0
"scaffold_17496_5",0,0,0,0,0,0
"scaffold_4336_1",0,0,0,0,0,0
"scaffold_4336_2",0,0,0,0,0,0
"scaffold_4336_3",0,0,0,0,0,0
"scaffold_4336_4",0,0,0,0,0,0
"scaffold_4336_5",0,0,0,0,0,0
"scaffold_4336_6",0,0,0,0,0,0
"scaffold_4336_7",0,0,0,0,0,0
"scaffold_4336_8",0,0,0,0,0,0
"scaffold_4336_9",0,0,0,0,0,0
"scaffold_4336_10",0,0,0,0,0,0
"scaffold_4336_11",0,0,0,0,0,0
"scaffold_4336_12",0,0,1,0,0,0
"scaffold_4336_13",0,0,0,0,0,0
"scaffold_4336_14",0,0,1,0,0,0
"scaffold_4336_15",0,0,0,0,0,0
"scaffold_4336_16",0,0,0,0,0,0
"scaffold_4336_17",0,0,0,0,0,0
"scaffold_4336_18",0,0,0,0,0,0
"scaffold_4336_19",0,0,0,0,0,0
"scaffold_58020_1",0,0,0,0,0,0
"scaffold_2552_1",0,0,0,0,0,0
"scaffold_2552_2",0,0,0,0,0,0
"scaffold_2552_3",0,0,0,0,0,0
"scaffold_2552_4",0,0,0,0,0,0
"scaffold_2552_5",0,0,0,0,0,0
"scaffold_2552_6",0,0,1,0,0,0
"scaffold_2552_7",0,0,0,0,0,0
"scaffold_2552_8",0,0,0,0,0,0
"scaffold_2552_9",0,0,0,0,0,0
"scaffold_2552_10",0,0,0,0,0,0
"scaffold_2552_11",0,0,0,0,0,0
"scaffold_2552_12",0,0,0,0,0,0
"scaffold_2552_13",0,0,0,0,0,0
"scaffold_2552_14",0,0,0,0,0,0
"scaffold_2552_15",0,0,0,0,0,0
"scaffold_2552_16",0,0,0,0,0,0
"scaffold_2552_17",0,0,0,0,0,0
"scaffold_2552_18",0,0,0,0,0,0
"scaffold_2552_19",0,0,0,0,0,0
"scaffold_2552_20",0,0,0,0,0,0
"scaffold_2552_21",0,0,0,0,0,0
"scaffold_2552_22",0,0,0,0,0,0
"scaffold_2552_23",0,0,0,0,0,0
"scaffold_2552_24",0,0,0,0,0,0
"scaffold_2552_25",0,0,0,0,0,0
"scaffold_2552_26",0,0,0,0,0,0
"scaffold_19719_1",0,0,0,0,0,0
"scaffold_19719_2",0,0,0,0,0,0
"scaffold_19719_3",0,0,0,0,0,0
"scaffold_19719_4",0,0,0,0,0,0
"scaffold_19719_5",0,0,0,0,0,0
"scaffold_19719_6",0,0,0,0,0,0
"scaffold_34381_1",0,0,0,0,0,0
"scaffold_34381_2",0,0,0,0,0,0
"scaffold_34381_3",0,0,0,0,0,0
"scaffold_34381_4",0,0,0,0,0,0
"scaffold_12258_1",0,0,0,0,0,0
"scaffold_12258_2",0,0,0,0,0,0
"scaffold_12258_3",0,0,0,0,0,0
"scaffold_12258_4",0,0,0,0,0,0
"scaffold_12258_5",0,0,0,0,0,0
"scaffold_12258_6",0,0,0,0,0,0
"scaffold_12258_7",0,0,0,0,0,0
"scaffold_59267_1",0,0,0,0,0,0
"scaffold_59267_2",0,0,0,0,0,0
"scaffold_59267_3",0,0,0,0,0,0
"scaffold_14572_1",0,0,0,0,0,0
