"","B1","B3","B4","E1","E2","E3"
"scaffold_31_1",0,0,0,0,0,0
"scaffold_31_2",0,0,0,0,0,0
"scaffold_31_3",0,0,0,0,0,0
"scaffold_31_4",0,0,0,0,0,0
"scaffold_31_5",0,0,0,0,0,0
"scaffold_31_6",0,0,0,0,0,0
"scaffold_31_7",0,0,0,0,0,0
"scaffold_31_8",0,0,0,0,0,0
"scaffold_31_9",0,0,0,0,0,0
"scaffold_31_10",0,0,0,0,0,0
"scaffold_31_11",0,0,0,0,0,0
"scaffold_31_12",0,0,0,0,0,0
"scaffold_31_13",0,0,0,0,0,0
"scaffold_31_14",0,0,0,0,0,0
"scaffold_31_15",0,0,0,0,0,0
"scaffold_31_16",0,0,0,0,0,0
"scaffold_31_17",0,0,0,0,0,0
"scaffold_31_18",0,0,0,0,0,0
"scaffold_31_19",0,0,0,0,0,0
"scaffold_31_20",0,0,0,0,0,0
"scaffold_31_21",0,0,0,0,0,0
"scaffold_31_22",0,0,0,0,0,0
"scaffold_31_23",0,0,0,0,0,0
"scaffold_31_24",0,0,0,0,0,0
"scaffold_31_25",0,0,0,0,0,0
"scaffold_31_26",0,0,0,0,0,0
"scaffold_31_27",0,0,0,0,0,0
"scaffold_31_28",0,0,0,0,0,0
"scaffold_31_29",0,0,0,0,0,0
"scaffold_31_30",0,0,0,0,0,0
"scaffold_31_31",0,0,0,0,0,0
"scaffold_31_32",0,0,0,0,0,0
"scaffold_31_33",0,0,0,0,0,0
"scaffold_31_34",0,0,0,0,0,0
"scaffold_31_35",0,0,1,0,0,0
"scaffold_31_36",0,0,0,0,0,0
"scaffold_31_37",0,0,0,0,0,0
"scaffold_31_38",0,0,0,0,0,0
"scaffold_31_39",0,0,0,0,0,0
"scaffold_31_40",0,0,1,0,0,0
"scaffold_31_41",0,0,0,0,0,0
"scaffold_31_42",0,0,0,0,0,0
"scaffold_31_43",0,0,2,0,0,0
"scaffold_31_44",0,0,0,0,0,0
"scaffold_31_45",0,0,4,0,0,0
"scaffold_31_46",0,0,0,0,0,0
"scaffold_31_47",0,0,1,0,0,0
"scaffold_31_48",0,0,0,0,0,0
"scaffold_31_49",0,0,0,0,0,0
"scaffold_31_50",0,0,0,0,0,0
"scaffold_31_51",0,0,0,0,0,0
"scaffold_31_52",0,0,0,0,0,0
"scaffold_31_53",0,0,0,0,0,0
"scaffold_31_54",0,0,0,0,0,0
"scaffold_31_55",0,0,0,0,0,0
"scaffold_31_56",0,0,0,0,0,0
"scaffold_31_57",0,0,1,0,0,0
"scaffold_31_58",0,0,0,0,0,0
"scaffold_31_59",0,0,0,0,0,0
"scaffold_31_60",0,0,0,0,0,0
"scaffold_31_61",0,0,0,0,0,0
"scaffold_31_62",0,0,0,0,0,0
"scaffold_31_63",0,0,2,0,0,0
"scaffold_31_64",0,0,0,0,0,0
"scaffold_31_65",0,1,1,0,0,0
"scaffold_31_66",0,0,0,0,0,0
"scaffold_31_67",0,0,1,0,0,0
"scaffold_31_68",0,0,0,0,0,0
"scaffold_31_69",0,0,0,0,0,0
"scaffold_31_70",0,0,0,0,0,0
"scaffold_31_71",0,0,1,0,0,0
"scaffold_31_72",0,0,0,0,0,0
"scaffold_31_73",0,0,0,0,0,0
"scaffold_31_74",0,0,0,0,0,0
"scaffold_31_75",0,0,1,0,0,0
"scaffold_31_76",0,0,0,0,0,0
"scaffold_31_77",0,0,0,0,0,0
"scaffold_31_78",0,0,0,0,0,0
