"","B1","B3","B4","E1","E2","E3"
"scaffold_6662_1",0,0,0,0,0,0
"scaffold_6662_2",1,0,2,0,1,3
"scaffold_6662_3",0,0,0,0,1,0
"scaffold_6662_4",0,0,0,0,0,0
"scaffold_6662_5",0,0,0,0,0,0
"scaffold_6662_6",0,0,0,0,2,0
"scaffold_6662_7",0,0,0,0,0,0
"scaffold_6662_8",0,0,0,0,0,0
"scaffold_6662_9",0,0,0,0,1,5
"scaffold_6662_10",0,0,0,0,0,0
"scaffold_6662_11",0,0,0,0,0,0
"scaffold_86617_1",0,0,0,0,0,0
"scaffold_79751_1",0,0,0,0,2,0
"scaffold_79751_2",1,0,0,0,0,0
"scaffold_4818_1",0,0,1,0,0,0
"scaffold_4818_2",0,0,0,0,0,0
"scaffold_4818_3",0,0,0,0,0,0
"scaffold_4818_4",0,0,0,0,0,0
"scaffold_4818_5",0,0,0,0,0,0
"scaffold_4818_6",0,0,0,0,0,0
"scaffold_4818_7",0,0,0,0,0,0
"scaffold_4818_8",0,0,0,0,1,0
"scaffold_4818_9",1,0,0,0,0,0
"scaffold_4818_10",0,0,0,0,0,0
"scaffold_4818_11",0,0,4,0,2,0
"scaffold_4818_12",0,0,0,0,0,0
"scaffold_4818_13",0,0,0,0,0,0
"scaffold_4818_14",0,0,0,0,0,0
"scaffold_4818_15",0,0,0,0,0,0
"scaffold_4818_16",0,0,0,0,0,0
"scaffold_4818_17",0,0,0,0,0,0
"scaffold_4818_18",0,0,0,0,0,0
"scaffold_20867_1",3,0,0,1,1,1
"scaffold_20867_2",0,0,2,0,0,0
"scaffold_20867_3",0,0,4,0,0,0
"scaffold_4469_1",0,0,0,0,0,0
"scaffold_4469_2",0,0,0,0,2,0
"scaffold_4469_3",0,0,0,0,0,0
"scaffold_4469_4",0,0,0,0,0,0
"scaffold_4469_5",0,0,0,0,0,1
"scaffold_4469_6",1,0,1,0,0,0
"scaffold_4469_7",0,0,0,0,0,0
"scaffold_4469_8",0,0,0,0,0,0
"scaffold_4469_9",0,0,3,0,0,0
"scaffold_4469_10",0,0,0,0,0,0
"scaffold_4469_11",0,0,0,0,0,0
"scaffold_4469_12",0,0,0,0,0,0
"scaffold_4469_13",0,0,0,0,0,0
"scaffold_4469_14",0,0,4,0,0,0
"scaffold_4469_15",0,0,2,1,0,0
"scaffold_10537_1",0,0,0,0,0,0
"scaffold_10537_2",0,0,0,0,0,0
"scaffold_10537_3",0,0,0,0,0,0
"scaffold_10537_4",0,0,0,0,0,0
"scaffold_10537_5",0,0,0,0,1,0
"scaffold_10537_6",0,0,0,0,0,0
