"","B1","B3","B4","E1","E2","E3"
"scaffold_82536_1",0,0,0,0,0,0
"scaffold_82536_2",0,0,0,0,0,0
"scaffold_82536_3",0,0,0,0,0,0
"scaffold_48009_1",0,0,0,0,0,0
"scaffold_6836_1",0,0,0,0,0,0
"scaffold_6836_2",0,0,0,0,0,0
"scaffold_6836_3",0,0,0,0,0,0
"scaffold_6836_4",0,0,0,0,0,0
"scaffold_6836_5",0,0,0,0,0,0
"scaffold_6836_6",0,0,0,0,0,0
"scaffold_6836_7",0,0,0,0,0,0
"scaffold_6836_8",0,0,0,0,0,0
"scaffold_6836_9",0,0,0,0,0,0
"scaffold_6836_10",0,0,0,0,0,0
"scaffold_6836_11",0,0,0,0,0,0
"scaffold_6089_1",0,0,0,0,0,0
"scaffold_6089_2",0,0,0,0,0,0
"scaffold_6089_3",0,0,0,0,0,0
"scaffold_6089_4",0,0,0,0,0,0
"scaffold_6089_5",0,0,0,0,0,0
"scaffold_6089_6",0,0,0,0,0,0
"scaffold_6089_7",0,0,0,0,0,0
"scaffold_6089_8",0,0,0,0,1,0
"scaffold_6089_9",0,0,0,0,0,0
"scaffold_12648_1",0,0,0,0,0,0
"scaffold_12648_2",0,0,0,0,0,0
"scaffold_12648_3",0,0,0,0,0,0
"scaffold_12648_4",0,0,0,0,0,0
"scaffold_12648_5",0,0,0,0,0,0
"scaffold_14552_1",0,0,0,0,0,0
"scaffold_14552_2",0,0,0,0,0,0
"scaffold_14552_3",0,0,0,0,0,0
"scaffold_14552_4",0,0,0,0,0,0
"scaffold_14552_5",0,0,0,0,0,0
"scaffold_14552_6",0,0,0,0,0,0
"scaffold_14552_7",0,0,0,0,0,0
"scaffold_30274_1",0,0,0,0,0,0
"scaffold_30274_2",0,0,0,0,0,0
"scaffold_30274_3",0,0,0,0,0,0
"scaffold_23386_1",0,0,0,0,0,0
"scaffold_23386_2",0,0,0,0,0,0
"scaffold_23386_3",0,0,0,0,0,0
"scaffold_40211_1",0,0,0,0,0,0
"scaffold_40211_2",0,0,0,0,0,0
"scaffold_40211_3",0,0,0,0,0,0
"scaffold_40211_4",0,0,0,0,0,0
"scaffold_40211_5",0,0,0,0,0,0
"scaffold_74100_1",0,0,0,0,0,0
"scaffold_74100_2",0,0,0,0,0,0
"scaffold_74100_3",0,0,1,0,0,0
"scaffold_74100_4",0,0,0,0,0,0
"scaffold_24672_1",0,0,0,0,0,0
"scaffold_24672_2",0,0,0,0,0,0
"scaffold_24672_3",0,0,0,0,0,0
"scaffold_24672_4",0,0,0,0,0,0
"scaffold_48883_1",0,0,0,0,0,0
"scaffold_48883_2",0,0,0,0,0,0
"scaffold_48883_3",0,0,0,0,0,0
"scaffold_48883_4",0,0,0,0,0,0
"scaffold_37375_1",0,0,0,0,0,0
"scaffold_37375_2",0,0,0,0,0,0
"scaffold_37375_3",0,0,0,0,0,0
"scaffold_49711_1",0,0,0,0,0,0
"scaffold_49711_2",0,0,0,0,0,0
"scaffold_14636_1",0,0,0,0,0,0
"scaffold_14636_2",0,0,0,0,0,0
"scaffold_14636_3",0,0,0,0,0,0
"scaffold_14636_4",0,0,0,0,0,0
"scaffold_14636_5",0,0,0,0,0,0
"scaffold_9660_1",0,0,0,0,0,0
"scaffold_9660_2",0,0,0,0,0,0
"scaffold_9660_3",0,0,0,0,0,0
"scaffold_9660_4",0,0,0,0,0,0
"scaffold_9660_5",0,0,0,0,0,0
"scaffold_9660_6",0,0,0,0,0,0
"scaffold_9660_7",0,0,0,0,0,0
"scaffold_15989_1",0,0,0,0,0,0
"scaffold_15989_2",0,0,0,0,0,0
"scaffold_15989_3",0,0,0,0,0,0
"scaffold_15989_4",0,0,0,0,0,0
"scaffold_15989_5",0,0,0,0,0,0
"scaffold_15989_6",0,0,0,0,0,0
"scaffold_42640_1",0,0,0,0,0,0
"scaffold_42640_2",0,0,1,0,0,0
"scaffold_42640_3",0,0,0,0,0,0
"scaffold_18654_1",0,0,0,0,0,0
"scaffold_18654_2",0,0,0,0,0,0
"scaffold_18654_3",0,0,0,0,0,0
"scaffold_18654_4",0,0,0,0,0,0
"scaffold_60948_1",0,0,0,0,0,0
"scaffold_60948_2",0,0,0,0,0,0
"scaffold_45476_1",0,0,0,0,0,0
"scaffold_45476_2",0,0,0,0,0,0
"scaffold_45476_3",0,0,0,0,0,0
"scaffold_45476_4",0,0,0,0,0,0
"scaffold_78610_1",0,0,0,0,0,0
"scaffold_78610_2",0,0,1,0,0,0
"scaffold_4769_1",0,0,0,0,0,0
"scaffold_4769_2",0,0,0,0,0,0
"scaffold_4769_3",0,0,0,0,0,0
"scaffold_4769_4",1,0,0,0,0,0
"scaffold_4769_5",0,0,0,0,0,0
"scaffold_4769_6",0,0,0,0,0,0
"scaffold_4769_7",0,0,3,0,0,0
"scaffold_4769_8",0,0,0,0,0,0
"scaffold_4769_9",0,0,0,0,0,0
"scaffold_4769_10",0,0,0,0,0,0
"scaffold_4769_11",0,0,0,0,0,0
"scaffold_4769_12",0,0,0,0,0,0
"scaffold_4769_13",0,0,0,0,0,0
"scaffold_4769_14",0,0,0,0,0,0
"scaffold_4769_15",0,0,0,0,0,0
"scaffold_4769_16",0,0,0,0,0,0
"scaffold_5557_1",0,0,0,0,0,0
"scaffold_5557_2",0,0,0,0,0,0
"scaffold_5557_3",0,0,0,0,0,0
"scaffold_5557_4",0,0,0,0,0,0
"scaffold_5557_5",0,0,0,0,0,0
"scaffold_5557_6",0,0,0,0,0,0
"scaffold_5557_7",0,0,0,0,0,0
"scaffold_5557_8",0,0,0,0,0,0
"scaffold_5557_9",0,0,0,0,0,0
"scaffold_5557_10",0,0,0,0,0,0
"scaffold_5557_11",0,0,0,0,0,0
"scaffold_5557_12",0,0,0,0,0,0
"scaffold_5557_13",0,0,0,0,0,0
"scaffold_5557_14",0,0,0,0,0,0
"scaffold_3029_1",0,0,0,0,0,0
"scaffold_3029_2",0,0,0,0,0,0
"scaffold_3029_3",0,0,0,0,3,0
"scaffold_3029_4",0,0,0,0,0,0
"scaffold_3029_5",0,0,0,0,0,0
"scaffold_3029_6",0,0,0,0,0,0
"scaffold_3029_7",0,0,0,0,0,0
"scaffold_3029_8",0,0,0,0,0,0
"scaffold_3029_9",0,0,0,0,0,0
"scaffold_3029_10",0,0,0,0,0,0
"scaffold_3029_11",0,0,0,0,0,0
"scaffold_3029_12",0,0,0,0,0,0
"scaffold_3029_13",0,0,0,0,0,0
"scaffold_3029_14",0,0,0,0,0,0
"scaffold_3029_15",0,0,0,0,0,0
