"","B1","B3","B4","E1","E2","E3"
"scaffold_56077_1",0,0,0,0,0,0
"scaffold_45694_1",0,0,0,0,0,0
"scaffold_45694_2",0,0,0,0,0,0
"scaffold_16571_1",0,0,0,0,0,0
"scaffold_16571_2",0,0,0,0,0,0
"scaffold_16571_3",0,0,0,0,0,0
"scaffold_16571_4",0,0,0,0,0,0
"scaffold_16571_5",0,0,0,0,0,0
"scaffold_16571_6",0,0,0,0,0,0
"scaffold_16571_7",0,0,0,0,0,0
"scaffold_9588_1",0,0,0,0,0,0
"scaffold_9588_2",0,0,0,0,0,0
"scaffold_9588_3",0,0,0,0,0,0
"scaffold_9588_4",0,0,0,0,0,0
"scaffold_9588_5",0,0,0,0,0,0
"scaffold_9588_6",0,0,0,0,0,0
"scaffold_9588_7",0,0,0,0,0,0
"scaffold_9588_8",0,0,0,0,0,0
"scaffold_9588_9",0,0,0,0,0,0
"scaffold_16199_1",0,0,0,0,0,0
"scaffold_16199_2",0,0,0,0,0,0
"scaffold_16199_3",0,0,0,0,0,0
"scaffold_16199_4",0,0,0,0,0,0
"scaffold_16199_5",0,0,0,0,0,0
"scaffold_16199_6",0,0,0,0,0,0
"scaffold_16199_7",0,0,0,0,0,0
"scaffold_61014_1",0,0,4,0,0,0
"scaffold_61014_2",0,0,0,0,0,0
"scaffold_79247_1",0,0,0,0,0,0
"scaffold_79247_2",0,0,0,0,0,0
"scaffold_71014_1",0,0,0,0,0,0
"scaffold_12357_1",0,0,0,0,0,0
"scaffold_12357_2",0,0,0,0,0,0
"scaffold_12357_3",0,0,0,0,0,0
"scaffold_12357_4",0,0,0,0,0,0
"scaffold_12357_5",0,0,0,0,0,0
"scaffold_12357_6",0,0,0,0,0,0
"scaffold_12357_7",0,0,0,0,0,0
"scaffold_12357_8",0,0,0,0,0,0
"scaffold_12501_1",0,0,0,0,0,0
"scaffold_12501_2",0,0,0,0,0,0
"scaffold_12501_3",0,0,0,0,0,0
"scaffold_12501_4",0,0,0,0,0,0
"scaffold_12501_5",0,0,0,0,0,0
"scaffold_12501_6",0,0,0,0,0,0
"scaffold_12501_7",0,0,0,0,0,0
"scaffold_25453_1",0,0,0,0,0,0
"scaffold_25453_2",0,0,0,0,0,0
"scaffold_25453_3",0,0,0,0,0,0
"scaffold_25453_4",0,0,0,0,0,0
"scaffold_7978_1",0,0,0,0,0,0
"scaffold_7978_2",0,0,0,0,0,0
"scaffold_7978_3",0,0,0,0,0,0
