"","B1","B3","B4","E1","E2","E3"
"scaffold_98_partial_0_100411_1",0,0,0,0,0,0
"scaffold_98_partial_0_100411_2",0,0,3,0,0,0
"scaffold_98_partial_0_100411_3",0,0,0,0,0,0
"scaffold_98_partial_0_100411_4",0,0,0,0,0,0
"scaffold_98_partial_0_100411_5",0,0,0,0,0,0
"scaffold_98_partial_0_100411_6",0,0,0,0,0,0
"scaffold_98_partial_0_100411_7",5,0,0,0,0,0
"scaffold_98_partial_0_100411_8",0,0,1,0,0,0
"scaffold_98_partial_0_100411_9",0,0,0,0,0,0
"scaffold_98_partial_0_100411_10",0,0,0,0,0,0
"scaffold_98_partial_0_100411_11",0,0,4,0,0,0
"scaffold_98_partial_0_100411_12",0,0,0,0,0,0
"scaffold_98_partial_0_100411_13",0,0,0,0,0,0
"scaffold_98_partial_0_100411_14",0,0,0,0,0,0
"scaffold_98_partial_0_100411_15",0,0,0,0,0,0
"scaffold_98_partial_0_100411_16",0,0,0,0,0,0
"scaffold_98_partial_0_100411_17",0,0,0,0,0,0
"scaffold_98_partial_0_100411_18",0,0,0,0,0,0
"scaffold_98_partial_0_100411_19",0,0,0,0,0,0
"scaffold_98_partial_0_100411_20",0,0,0,0,0,0
"scaffold_98_partial_0_100411_21",0,0,0,0,0,0
"scaffold_98_partial_0_100411_22",0,0,0,1,2,0
"scaffold_98_partial_0_100411_23",0,0,2,0,5,1
"scaffold_98_partial_0_100411_24",0,0,0,0,0,0
"scaffold_98_partial_0_100411_25",0,0,0,0,0,0
"scaffold_98_partial_0_100411_26",0,0,0,0,1,0
"scaffold_98_partial_0_100411_27",0,0,0,0,0,0
"scaffold_98_partial_0_100411_28",0,0,0,0,0,0
"scaffold_98_partial_0_100411_29",0,0,0,0,0,0
"scaffold_98_partial_0_100411_30",0,0,0,0,0,0
"scaffold_98_partial_0_100411_31",0,0,0,0,0,0
"scaffold_98_partial_0_100411_32",0,0,0,0,0,0
"scaffold_98_partial_0_100411_33",0,0,0,0,0,0
"scaffold_98_partial_0_100411_34",0,0,0,0,0,0
"scaffold_98_partial_0_100411_35",0,0,6,0,0,0
"scaffold_98_partial_0_100411_36",0,0,0,0,0,0
"scaffold_98_partial_0_100411_37",0,0,0,0,0,0
"scaffold_98_partial_0_100411_38",0,0,0,0,0,0
"scaffold_98_partial_0_100411_39",0,0,1,0,0,0
"scaffold_98_partial_0_100411_40",0,0,0,0,0,0
"scaffold_98_partial_0_100411_41",0,0,0,0,0,0
"scaffold_98_partial_0_100411_42",0,0,0,0,0,0
"scaffold_98_partial_0_100411_43",0,0,0,0,0,0
"scaffold_98_partial_0_100411_44",0,0,0,0,0,0
"scaffold_98_partial_0_100411_45",0,0,0,0,0,0
"scaffold_98_partial_0_100411_46",0,0,0,0,0,0
"scaffold_98_partial_0_100411_47",0,0,0,0,0,0
"scaffold_98_partial_0_100411_48",0,0,0,0,2,0
"scaffold_98_partial_0_100411_49",0,0,0,0,0,0
"scaffold_98_partial_0_100411_50",0,0,0,0,0,1
"scaffold_98_partial_0_100411_51",0,0,0,1,2,0
"scaffold_98_partial_0_100411_52",0,0,0,0,1,4
"scaffold_98_partial_0_100411_53",0,0,0,0,0,0
"scaffold_98_partial_0_100411_54",0,0,2,0,0,0
"scaffold_98_partial_0_100411_55",0,0,0,0,0,0
"scaffold_98_partial_0_100411_56",0,0,0,1,0,0
"scaffold_98_partial_0_100411_57",0,0,0,0,0,0
