SampleID	Sample_Type	Days	Log10_Cells_permL	Benzene_mM	Nitrate_mM	Nitrite_mM	Nicotinic_acid_pM	Pantothenic_acid_pM	p_Aminobenzoic_acid_pM	Biotin_pM	Vitamin_B12_pM
03_B1III	VitamDeg	0	4.433289685	0.091827022	8.6	0.02	150.4062238	152.3188429	467.9483001	147.0468664	25.8634837
04_C1I	VitamDeg	0	3.970941647	0.106003808	8.5	0.04	134.3371828	16.6756648	294.8478192	118.2204983	21.89346815
05_C1III	VitamDeg	0	4.228554336	0.091827022	8.38	0.04	102.1991008	21.3679514	352.5479795	156.7636197	24.40391915
06_A2I	VitamDeg	7	4.942057684	0.108195943	8.28	0.04	150.4062238	39.34301865	64.04717795	49.87933355	19.266252
07_A2II	VitamDeg	7	4.825426117	0.119721005	8.24	0.04	37.92293675	20.28511605	0	59.9199786	28.31555215
08_A2III	VitamDeg	7	4.846151476	0.110946577	8.22	0.04	0	6.9301464	0	53.1182513	12.4938725
09_A2IV	VitamDeg	7	4.802636918	0.101628186	8.22	0.04	0	236.4190571	283.8847887	69.3128401	63.6370141
10_B2I	VitamDeg	7	5.477772208	0.103070327	8.02	0.04	0	14.0768599	563.730566	92.633048	92.828305
11_B2II	VitamDeg	7	5.185966892	0.113279918	7.98	0.04	0	8.9875336	366.3960179	93.9286151	63.6370141
12_B2III	VitamDeg	7	5.403977963	0.11040632	7.96	0.04	0	0	158.6754409	91.66137265	92.828305
13_B2IV	VitamDeg	7	5.616370472	0.107842821	7.96	0.04	221.1100042	7.5437531	571.8085885	127.9372516	118.516641
14_C2I	VitamDeg	7	5.605271886	0.108272396	7.94	0.26	0	0	778.952164	119.1921737	107.4239505
15_C2II	VitamDeg	7	5.063044522	0.104661158	7.9	0.12	0	32.7738174	738.562052	94.9002904	94.57978245
16_C2III	VitamDeg	7	6.048270849	0.087783882	7.9	0.12	0	44.75719555	96.9362693	114.6576888	116.7651635
17_C2IV	VitamDeg	7	5.390139938	0.109432199	7.84	0.16	0	0	0	102.0259095	100.4180406
18_A3I	VitamDeg	14	5.054268239	0.080238516	7.32	0.48	0	4.9449482	0	45.66874045	5.6689487
19_A3II	VitamDeg	14	5.128689993	0.084819442	7.3	0.54	0	0	0	3.85431215	0
20_A3III	VitamDeg	14	5.194791757	0.076490142	7.26	0.56	0	0	0	0	0
21_A3IV	VitamDeg	14	5.136276535	0.081741557	7.22	0.56	0	0	0	34.0086365	0
22_B3I	VitamDeg	14	5.253459164	0.103445396	7.78	0.18	0	0	0	0	0
23_B3II	VitamDeg	14	5.64782291	0.093818068	7.78	0.24	0	0	0	44.37317335	0
24_B3III	VitamDeg	14	5.01178183	0.107057143	7.7	0.06	0	0	0	68.66505655	0
25_B3IV	VitamDeg	14	5.262451089	0.10187426	7.68	0.28	0	0	0	37.24755425	0
26_C3I	VitamDeg	14	5.951905519	0.107383231	7.68	0.3	0	0	0	36.5997707	0
27_C3II	VitamDeg	14	5.998416284	0.095148654	7.68	0.3	0	0	0	85.8313207	69.4752723
28_C3III	VitamDeg	14	5.925255351	0.057321967	7.2	0.56	0	0	0	5.73288445	5.39455055
29_C3IV	VitamDeg	14	6.078409688	0.109740045	7.66	0.34	0	0	0	17.26343165	0
30_A4I	VitamDeg	18	5.237015628	0.049001824	7.18	0.56	0	0	0	0	0
31_A4II	VitamDeg	18	5.302092716	0.095247854	7.6	0.36	0	0	0	2.67534605	0
32_A4III	VitamDeg	18	5.219060332	0.050608935	7.16	0.56	0	0	0	0	0
33_A4IV	VitamDeg	18	5.348577428	0.069611631	7.14	0.56	0	0	0	0	0
34_B4I	VitamDeg	18	5.319730494	0.08206343	7.12	0.56	0	0	0	0	0
35_B4II	VitamDeg	18	5.572639297	0.080387933	7.12	0.56	0	0	0	0	0
36_B4III	VitamDeg	18	5.354204511	0.099838809	7.56	0.42	0	0	0	0	0
37_B4IV	VitamDeg	18	5.223366126	0.077052347	7.12	0.56	0	0	0	96.84364105	106.8401246
38_C4I	VitamDeg	18	5.924418858	0.103787254	7.54	0.4	0	0	0	7.44951085	0
39_C4II	VitamDeg	18	5.902851059	0.104127732	7.54	0.52	0	273.5964051	0	111.7426628	98.66656315
40_C4III	VitamDeg	18	6.180016857	0.096206786	7.52	0.44	0	0	0	66.7217059	0
41_C4IV	VitamDeg	18	6.151017245	0.121256386	7.52	0.46	0	0	0	0	0
42_A5I	Minus	22	5.643995205	0.091669683	7.5	0.46	0	0	0	0	0
43_A5II	Plus	22	5.30105171	0.00609843	6.84	0.62	0	0	877.0424365	45.34484865	77.64883375
44_A5III	Minus	22	4.561697532	0.102723817	7.5	0.46	0	0	0	0	0
45_A5IV	Plus	22	5.31344537	0.07471312	7.1	0.56	0	0	0	0	0
