bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
bin_000	Unknown	60499047	15403	8098	60.47340418566791	100.0	842.2535211267606
bin_001_Chloroflexi	Unknown_Anaerolineae	3435559	60	121528	59.27355765124579	94.36619718309859	1.408450704225352
bin_002_Unknown	Unknown_Bacteria	1944298	36	56800	36.61493224646424	84.50704225352112	2.816901408450704
bin_003_Planctomycetes	Candidatus Brocadiaceae	3959694	208	30344	40.77450759703071	98.59154929577464	12.67605633802817
bin_004_Proteobacteria	Unknown_Alphaproteobacteria	3822053	27	206048	65.67190558573344	100.0	2.816901408450704
bin_005_Chloroflexi	Unknown_Chloroflexi	3739161	57	149802	54.02915772561965	95.77464788732394	2.816901408450704
bin_006_Proteobacteria	Rhodocyclaceae	3311055	120	60502	64.12588448658663	97.1830985915493	7.042253521126761
bin_007_Acidobacteria	Unknown_Acidobacteria	3335773	15	392789	53.73683707122968	95.77464788732394	1.408450704225352
bin_008_Planctomycetes	Unknown_Planctomycetes	1249458	26	26585	62.648527866263336	47.88732394366197	0.0
bin_009_Firmicutes	Peptococcaceae	4248075	93	87433	44.35126613513858	98.59154929577464	0.0
bin_010_Ignavibacteriae	Unknown_Ignavibacteria	3685673	287	23711	33.34111385409167	97.1830985915493	1.408450704225352
bin_011	Unknown	253085	19	65316	59.6315969150063	0.0	0.0
bin_012_Verrucomicrobia	Verrucomicrobia subdivision 3	4597136	78	79543	62.51037032449352	94.36619718309859	2.816901408450704
bin_013_mixed	Unknown	3008466	28	331130	58.980947887529354	97.1830985915493	0.0
bin_014_Proteobacteria	Unknown_Deltaproteobacteria	8076467	148	81157	69.94255270985018	95.77464788732394	0.0
bin_015	None	242034	32	51870	57.419180358955444	0.0	0.0
bin_016_Proteobacteria	Hyphomicrobiaceae	4189325	81	178727	62.81190797365487	97.1830985915493	5.633802816901408
bin_017	Microbacteriaceae	2684626	610	6114	69.9916710617532	87.32394366197182	4.225352112676056
bin_018_Bacteroidetes	Unknown_Flavobacteriia	3086012	19	283578	32.95586037755241	94.36619718309859	1.408450704225352
bin_019_Proteobacteria	Burkholderiaceae	4074397	166	48779	69.78658505311371	91.54929577464789	7.042253521126761
bin_020_Ignavibacteriae	Unknown_Ignavibacteria	3687606	59	107749	40.577592352732324	97.1830985915493	1.408450704225352
bin_021	Unknown_Bacteroidetes	3038481	56	54077	59.937752261910546	88.73239436619718	0.0
